With Mystery Load,,,,With Open Circuit,,,,Short,,
Freq [MHz],Peak-Peak Voltage,Phase [Deg],,Freq [MHz],Peak-Peak Voltage,Phase [Deg],,Freq [MHz],Peak-Peak Voltage,Phase [Deg]
1,2.9,0.9,,1,4.12,0,,1,0.076,84
3,2.9,1,,3,4.16,0.92,,3,0.208,82
5,2.9,-1,,5,4.2,0.9,,5,0.338,79
7,2.88,-1.7,,7,4.24,1,,7,0.46,77
8,2.88,-2,,8,4.24,0.5,,8,0.518,75
10,2.84,-3.06,,10,4.28,-0.6,,10,0.632,72
12,2.82,-4.5,,15,4.28,-2,,15,0.912,66
14,2.78,-5,,20,4.2,-5,,20,1.18,60
16,2.72,-5.1,,25,4.08,-6,,25,1.44,54
18,2.66,-6.8,,30,3.92,-4,,30,1.63,46
20,2.58,-6,,35,3.92,-2.5,,35,1.74,39
25,2.44,-6.75,,40,3.84,-5,,40,1.76,30
30,2.25,-4,,45,3.92,-5.9,,45,1.82,27
35,2.12,1,,50,4.12,-6.3,,50,1.92,24
40,2.02,1.5,,55,4.2,-10,,55,2.06,19.8
41,2,2.8,,60,4.16,-15,,60,2.16,13
42,2,3.5,,65,3.84,-17,,65,2.14,5
43,2,4.6,,70,3.56,-20,,70,2,-1
44,2,5.6,,75,3.4,-21,,75,1.86,-5
45,2,7.2,,80,3.44,-22,,80,1.78,-10
46,2,10,,,,,,,,
47,2,11,,,,,,,,
48,2.04,12.67,,,,,,,,
49,2.06,15,,,,,,,,
50,2.1,17,,,,,,,,
52,2.18,20,,,,,,,,
54,2.28,21,,,,,,,,
56,2.42,23.5,,,,,,,,
58,2.56,24.24,,,,,,,,
60,2.74,23.8,,,,,,,,
65,3.14,19.51,,,,,,,,
70,3.36,12,,,,,,,,
80,3.26,-2,,,,,,,,
