With Mystery Load,,,,Note: Input voltage wave has 4Vpp with 0V offset. Using 32 value average.
Freq [MHz],Peak-Peak Voltage,Phase [Deg],,
1,2.9,0.9,,
3,2.9,1,,
5,2.9,-1,,
7,2.88,-1.7,,
8,2.88,-2,,
10,2.84,-3.06,,
12,2.82,-4.5,,
14,2.78,-5,,
16,2.72,-5.1,,
18,2.66,-6.8,,
20,2.58,-6,,
25,2.44,-6.75,,
30,2.25,-4,,
35,2.12,1,,
40,2.02,1.5,,
41,2,2.8,,
42,2,3.5,,
43,2,4.6,,
44,2,5.6,,
45,2,7.2,,
46,2,10,,
47,2,11,,
48,2.04,12.67,,
49,2.06,15,,
50,2.1,17,,
52,2.18,20,,
54,2.28,21,,
56,2.42,23.5,,
58,2.56,24.24,,
60,2.74,23.8,,
65,3.14,19.51,,
70,3.36,12,,
80,3.26,-2,,
