Freq_MHz,R_ohm,C_pF,ReZL_ohm,ImZL_ohm,GammaL_mag,GammaL_deg,ReZL_fit_ohm,ImZL_fit_ohm,GammaL_fit_mag,GammaL_fit_deg
1,131.680004847786,-63.4539211891033,131.31806133529,6.89418018142101,0.44976686178484,2.66848815291344,129.742938565835,-4.18109123952828,0.444139171643779,-1.66884499542291
3,131.151135670764,-19.9840973282527,130.831813706779,6.46354946639563,0.448140579739419,2.52473510801795,128.675002592952,-12.4400279206257,0.444718489153992,-5.00245244961476
5,132.869995865484,20.7124869361203,131.884146240345,-11.4025407753229,0.45365285881123,-4.34033105278812,126.591018614833,-20.3975879066769,0.445872646486158,-8.32388630545712
7,131.179948468401,24.6574961800586,128.57766729328,-18.2919447609646,0.449433059964103,-7.25590704993921,123.588609329456,-27.8793343390682,0.447592795954579,-11.6252740291473
8,132.094260429503,25.0335820270265,128.542844759823,-21.3660729453318,0.452666988825953,-8.39388362562714,121.783369104844,-31.3966915387001,0.448661207579065,-13.266083536971
10,129.398931299307,30.5539159604065,121.877860170974,-30.2762622414802,0.446895921392701,-12.8515532634541,117.65867494844,-37.9166419783073,0.451204735065382,-16.5234457628343
12,132.192984368975,35.4687630706751,117.507246274044,-41.541312485731,0.459289227920896,-17.6783263682066,112.981730981078,-43.6913420509917,0.45427461277778,-19.742877382225
14,130.231745119083,35.2832382147012,111.943020406173,-45.2470450277164,0.4562052000527,-20.5363047666445,107.912293140732,-48.6860871093071,0.457848908222246,-22.9182125592959
16,125.088348284531,34.8592027132718,104.925598026457,-45.9955283553355,0.443296825845066,-23.4078020414869,102.600409199111,-52.9023531381473,0.461902873122328,-26.0439567742717
18,127.83961134338,39.6930276708807,96.1666554423658,-55.1895120197132,0.460532469691427,-29.4016328683248,97.1790525448226,-56.370395302736,0.466409428552561,-29.1153245391232
20,119.370534203369,38.3176173264028,89.7267864831732,-51.5736194410579,0.437088269747254,-32.1339288356363,91.7600753028275,-59.141137271595,0.47133966026788,-32.1282537908043
25,121.354620124221,39.4660288074631,77.4944803210409,-58.300246490522,0.459785880499229,-40.1778567182856,78.7581132057671,-63.4514025977832,0.485318180694741,-39.3846501514868
30,112.83058560092,40.5261918659084,64.737448845495,-55.7980911906823,0.452335344839614,-49.270672718054,67.1319920470274,-64.9017943348374,0.501264921092104,-46.2225938282532
35,106.990171120674,41.3387153634118,54.9791387102107,-53.4744964011455,0.455852450591244,-57.6869104822193,57.1599901257487,-64.4712520101873,0.51869524717086,-52.6302569472704
40,128.107710303485,39.1726039838899,49.4485921751661,-62.3665186873971,0.531312568779758,-58.4137837490944,48.7964695857321,-62.900530467417,0.537156399143971,-58.6125615767021
41,129.114528149602,39.2992646399428,47.6679392410353,-62.3088360626577,0.538213289479922,-59.606938511323,47.3015223910968,-62.4978230487809,0.540935832558554,-59.759259547765
42,131.10382720392,38.5901798826967,47.1163662469904,-62.906152088659,0.544225086976197,-59.6918720108698,45.861790803983,-62.0734972009063,0.544737210725714,-60.8897377233116
43,132.023211084631,38.2043336612985,46.2097022807379,-62.971554637736,0.548637720763672,-60.2388056599268,44.4754574522904,-61.6303726898964,0.548557668153783,-62.004174016285
44,133.634991711802,37.7948135685065,45.3044599859738,-63.2595213395784,0.554545271763707,-60.6703735597463,43.1406945663063,-61.1710202723685,0.552394434674025,-63.102754288606
45,134.06823474808,37.880343923822,43.7861802237905,-62.8737330717258,0.559554822954447,-61.8065410802022,41.855677692072,-60.6977799067797,0.556244835774358,-64.1856712708877
46,132.9665847299,39.01313795478,40.9389085990888,-61.380066973781,0.565512749189399,-64.3797575067902,40.618597074198,-60.2127781615136,0.560106292606864,-65.2531235585629
47,136.656339665419,38.6601140025903,39.7937452878272,-62.0848243017567,0.576347466781353,-64.6748761315549,39.4276670048663,-59.7179447434472,0.563976321698866,-66.3053146820944
48,134.639930992186,38.6447698095089,38.8854853920158,-61.020144998238,0.575282444798561,-65.8532597897147,38.2811334066743,-59.2150281022257,0.567852534395969,-67.3424522485812
49,136.059044013666,39.4537424158155,36.4634028137647,-60.2627246609973,0.586042929669295,-67.7845202741652,37.1772798890907,-58.7056100904464,0.571732636063963,-68.3647471517998
50,136.561904901759,40.0227124155804,34.5875055455786,-59.388888718673,0.593650065111085,-69.4756597660215,36.1144324920153,-58.191119679427,0.575614425074984,-69.372412847525
52,141.542194327372,40.474700075718,31.4291828407953,-58.8282412720474,0.614096178452928,-71.6736886593695,34.1052931323923,-57.1519489500516,0.583374716242551,-71.3447193320562
54,143.439685534715,39.5608219403535,30.4740310206746,-58.6729823677959,0.620899976881057,-72.3115956568151,32.2412870273582,-56.1063535980517,0.591117605112513,-73.2611068445005
56,149.503769321584,40.6959560011128,26.7787612773138,-57.3273380960072,0.645502750796108,-75.3040098611553,30.5108090087708,-55.0614526646828,0.598828683977957,-75.123314905985
58,153.582237540387,40.7412405275035,24.7731054709732,-56.488956570113,0.660168256330715,-76.994620586903,28.9030899583575,-54.0229359551174,0.606494882483284,-76.9330737380842
60,148.322124879915,41.2640715200007,23.4547456149676,-54.1177661795737,0.660664384489808,-79.7474464669921,27.4081840690626,-52.9953088326517,0.614104404749564,-78.6920932836342
