x-axis,1,2,3
second,Volt,Volt,Volt
-47.0000E-09,-3.2584771870E-03,+761.6232724E-06,-3.2584771870E-03
-46.2188E-09,-3.2584771870E-03,+761.6232724E-06,-3.2584771870E-03
-45.4375E-09,-3.2584771870E-03,+761.6232724E-06,+118.4071989E-06
-44.6563E-09,-3.2584771870E-03,+761.6232724E-06,+761.6232724E-06
-43.8750E-09,-3.2584771870E-03,-715.7636464E-06,+761.6232724E-06
-43.0938E-09,-3.2584771870E-03,-2.8966681457E-03,+761.6232724E-06
-42.3125E-09,-3.2584771870E-03,+3.4952915848E-03,+761.6232724E-06
-41.5313E-09,-3.2584771870E-03,+1.4048393459E-03,+761.6232724E-06
-40.7500E-09,-3.2584771870E-03,+761.6232724E-06,+2.0279549171E-03
-39.9688E-09,+118.4071989E-06,+761.6232724E-06,+4.3797136859E-03
-39.1875E-09,-2.6152611135E-03,+761.6232724E-06,+1.4048393459E-03
-38.4063E-09,-1.7810902682E-03,-2.6152611135E-03,+761.6232724E-06
-37.6250E-09,+399.8142311E-06,+118.4071989E-06,+761.6232724E-06
-36.8438E-09,+761.6232724E-06,+761.6232724E-06,+761.6232724E-06
-36.0625E-09,+761.6232724E-06,+761.6232724E-06,-2.6152611135E-03
-35.2813E-09,+761.6232724E-06,+761.6232724E-06,-3.2584771870E-03
-34.5000E-09,+761.6232724E-06,+761.6232724E-06,+118.4071989E-06
-33.7188E-09,-2.6152611135E-03,+761.6232724E-06,+761.6232724E-06
-32.9375E-09,-3.2584771870E-03,+761.6232724E-06,+761.6232724E-06
-32.1563E-09,+118.4071989E-06,+761.6232724E-06,+761.6232724E-06
-31.3750E-09,+761.6232724E-06,+761.6232724E-06,+761.6232724E-06
-30.5938E-09,+761.6232724E-06,+761.6232724E-06,+761.6232724E-06
-29.8125E-09,+761.6232724E-06,+761.6232724E-06,+761.6232724E-06
-29.0313E-09,-2.6152611135E-03,+761.6232724E-06,+761.6232724E-06
-28.2500E-09,-3.2584771870E-03,+761.6232724E-06,+761.6232724E-06
-27.4688E-09,-1.9921455423E-03,+761.6232724E-06,+761.6232724E-06
-26.6875E-09,+359.6132265E-06,+4.1385076584E-03,+761.6232724E-06
-25.9063E-09,-2.6152611135E-03,+3.3043368130E-03,+761.6232724E-06
-25.1250E-09,+118.4071989E-06,+1.1234323138E-03,+761.6232724E-06
-24.3438E-09,+761.6232724E-06,+761.6232724E-06,+761.6232724E-06
-23.5625E-09,+761.6232724E-06,+761.6232724E-06,+761.6232724E-06
-22.7813E-09,-2.6152611135E-03,+761.6232724E-06,+761.6232724E-06
-22.0000E-09,-3.2584771870E-03,+761.6232724E-06,+761.6232724E-06
-21.2188E-09,-3.2584771870E-03,+761.6232724E-06,+761.6232724E-06
-20.4375E-09,-3.2584771870E-03,-2.6152611135E-03,+761.6232724E-06
-19.6563E-09,-3.2584771870E-03,+118.4071989E-06,+761.6232724E-06
-18.8750E-09,+3.4952915848E-03,+761.6232724E-06,+761.6232724E-06
-18.0938E-09,-1.9720450400E-03,+761.6232724E-06,+761.6232724E-06
-17.3125E-09,-1.5700349941E-03,+761.6232724E-06,+761.6232724E-06
-16.5313E-09,+440.0152357E-06,+761.6232724E-06,-2.6152611135E-03
-15.7500E-09,+761.6232724E-06,+761.6232724E-06,-3.2584771870E-03
-14.9688E-09,-2.6152611135E-03,+761.6232724E-06,-3.2584771870E-03
-14.1875E-09,+118.4071989E-06,+761.6232724E-06,-3.2584771870E-03
-13.4063E-09,+761.6232724E-06,+761.6232724E-06,+118.4071989E-06
-12.6250E-09,+761.6232724E-06,+761.6232724E-06,+761.6232724E-06
-11.8438E-09,+761.6232724E-06,+761.6232724E-06,+761.6232724E-06
-11.0625E-09,+4.1385076584E-03,+761.6232724E-06,+761.6232724E-06
-10.2813E-09,+4.7817237319E-03,+761.6232724E-06,+761.6232724E-06
-9.5000E-09,+4.7817237319E-03,+761.6232724E-06,+761.6232724E-06
-8.7188E-09,+11.5354925038E-03,+761.6232724E-06,+761.6232724E-06
-7.9375E-09,+19.5756934227E-03,+761.6232724E-06,+761.6232724E-06
-7.1563E-09,+27.6158943416E-03,+761.6232724E-06,-2.6152611135E-03
-6.3750E-09,+33.7565977934E-03,+761.6232724E-06,-3.2584771870E-03
-5.5938E-09,+39.9576027521E-03,-2.6152611135E-03,-1.5700349941E-03
-4.8125E-09,+57.8470497967E-03,-3.2584771870E-03,+440.0152357E-06
-4.0313E-09,+74.5706677080E-03,-3.2584771870E-03,+761.6232724E-06
-3.2500E-09,+97.4048383177E-03,-3.2584771870E-03,-2.6152611135E-03
-2.4688E-09,+109.2842351754E-03,+118.4071989E-06,+118.4071989E-06
-1.6875E-09,+123.0530792491E-03,+761.6232724E-06,+761.6232724E-06
-906.3E-12,+155.7766969891E-03,-715.7636464E-06,+761.6232724E-06
-125.0E-12,+191.9576011242E-03,-2.8966681457E-03,+761.6232724E-06
+656.2E-12,+210.1988069589E-03,-3.2584771870E-03,+4.1385076584E-03
+1.4375E-09,+223.7565957585E-03,+118.4071989E-06,+771.6735236E-06
+2.2187E-09,+256.2792084755E-03,+761.6232724E-06,-2.7358641273E-03
+3.0000E-09,+292.4601126106E-03,+761.6232724E-06,-3.2584771870E-03
+3.7812E-09,+325.2641323597E-03,+761.6232724E-06,+118.4071989E-06
+4.5625E-09,+342.0179010245E-03,+761.6232724E-06,+761.6232724E-06
+5.3437E-09,+359.6359912881E-03,+761.6232724E-06,-926.8189206E-06
+6.1250E-09,+386.2088553251E-03,+761.6232724E-06,-2.9368691503E-03
+6.9062E-09,+414.3495585413E-03,+761.6232724E-06,-3.2584771870E-03
+7.6875E-09,+428.1385031172E-03,+761.6232724E-06,+118.4071989E-06
+8.4687E-09,+437.5053371878E-03,+761.6232724E-06,+761.6232724E-06
+9.2500E-09,+455.8369952829E-03,+2.4500654654E-03,+761.6232724E-06
+10.0313E-09,+469.1837288083E-03,+4.4601156951E-03,+761.6232724E-06
+10.8125E-09,+481.2440301866E-03,+8.1586081178E-03,+761.6232724E-06
+11.5938E-09,+484.6510653260E-03,+8.8018241913E-03,+761.6232724E-06
+12.3750E-09,+486.8319698253E-03,+12.1787085773E-03,-1.1378741947E-03
+13.1563E-09,+490.5706632526E-03,+15.7766984885E-03,-2.9770701549E-03
+13.9375E-09,+491.2138793261E-03,+20.1385074870E-03,+118.4071989E-06
+14.7188E-09,+493.1133767932E-03,+27.6158943416E-03,-2.6152611135E-03
+15.5000E-09,+494.9525727534E-03,+42.4098640324E-03,+118.4071989E-06
+16.2812E-09,+495.2339797856E-03,+50.6812207277E-03,+761.6232724E-06
+17.0625E-09,+495.2339797856E-03,+56.1988086083E-03,+761.6232724E-06
+17.8437E-09,+495.2339797856E-03,+73.9274516345E-03,+761.6232724E-06
+18.6250E-09,+495.2339797856E-03,+97.4048383177E-03,+761.6232724E-06
+19.4062E-09,+495.2339797856E-03,+121.5254410745E-03,+761.6232724E-06
+20.1875E-09,+491.8570953996E-03,+136.7817223181E-03,+761.6232724E-06
+20.9687E-09,+494.5907637120E-03,+151.1937824653E-03,-2.6152611135E-03
+21.7500E-09,+495.2339797856E-03,+183.9174002052E-03,+118.4071989E-06
+22.5312E-09,+495.2339797856E-03,+216.7214199544E-03,+761.6232724E-06
+23.3125E-09,+495.2339797856E-03,+252.2591080160E-03,+761.6232724E-06
+24.0937E-09,+498.6108641715E-03,+269.8671480284E-03,+761.6232724E-06
+24.8750E-09,+495.8771958591E-03,+290.6912684084E-03,-2.6152611135E-03
+25.6562E-09,+496.9224219785E-03,+324.6209162862E-03,+118.4071989E-06
+26.4375E-09,+498.9324722083E-03,+367.5555891932E-03,+761.6232724E-06
+27.2187E-09,+502.6309646310E-03,+388.5606140939E-03,+761.6232724E-06
+28.0000E-09,+503.2741807045E-03,+404.2993073926E-03,+761.6232724E-06
+28.7812E-09,+499.8972963185E-03,+433.8068447651E-03,-2.6152611135E-03
+29.5625E-09,+500.5204118897E-03,+462.5907640548E-03,+3.4952915848E-03
+30.3437E-09,+502.8721706585E-03,+494.1083516569E-03,+4.7817237319E-03
+31.1250E-09,+503.2741807045E-03,+506.2189042910E-03,+4.7817237319E-03
+31.9062E-09,+503.2741807045E-03,+517.4651353263E-03,+1.4048393459E-03
+32.6875E-09,+501.3746832374E-03,+536.2390044720E-03,-2.6152611135E-03
+33.4687E-09,+499.5354872772E-03,+552.9626223833E-03,-3.2584771870E-03
+34.2500E-09,+499.2540802450E-03,+559.1234263375E-03,-1.9921455423E-03
+35.0312E-09,+499.2540802450E-03,+562.9726725274E-03,+359.6132265E-06
+35.8125E-09,+499.2540802450E-03,+570.3294563682E-03,+761.6232724E-06
+36.5937E-09,+497.5656380520E-03,+574.9927729012E-03,+761.6232724E-06
+37.3750E-09,+495.5555878223E-03,+582.3897577466E-03,+761.6232724E-06
+38.1562E-09,+495.2339797856E-03,+583.6761898936E-03,+761.6232724E-06
+38.9375E-09,+495.2339797856E-03,+583.6761898936E-03,+761.6232724E-06
+39.7187E-09,+495.2339797856E-03,+583.6761898936E-03,+761.6232724E-06
+40.5000E-09,+495.2339797856E-03,+583.6761898936E-03,+761.6232724E-06
+41.2812E-09,+495.2339797856E-03,+583.6761898936E-03,+761.6232724E-06
+42.0625E-09,+495.2339797856E-03,+583.6761898936E-03,+761.6232724E-06
+42.8437E-09,+491.8570953996E-03,+583.6761898936E-03,+761.6232724E-06
+43.6250E-09,+492.6912662449E-03,+580.2993055077E-03,+761.6232724E-06
+44.4062E-09,+494.8721707442E-03,+579.6560894341E-03,+761.6232724E-06
+45.1875E-09,+491.8570953996E-03,+581.1334763530E-03,+761.6232724E-06
+45.9687E-09,+494.5907637120E-03,+583.3143808522E-03,+4.1385076584E-03
+46.7500E-09,+495.2339797856E-03,+580.2993055077E-03,+4.7817237319E-03
+47.5312E-09,+497.7666430750E-03,+579.6560894341E-03,+4.7817237319E-03
+48.3125E-09,+502.4701606126E-03,+579.6560894341E-03,+4.7817237319E-03
+49.0937E-09,+503.2741807045E-03,+580.9224210789E-03,+4.7817237319E-03
+49.8750E-09,+510.0279494764E-03,+583.2741798476E-03,+1.4048393459E-03
+50.6562E-09,+514.6912660093E-03,+587.0530742795E-03,+761.6232724E-06
+51.4375E-09,+518.7113664688E-03,+587.6962903531E-03,+761.6232724E-06
+52.2187E-09,+526.1083513142E-03,+587.6962903531E-03,+761.6232724E-06
+53.0000E-09,+534.1485522331E-03,+587.6962903531E-03,+761.6232724E-06
+53.7812E-09,+545.5656375379E-03,+587.6962903531E-03,+761.6232724E-06
+54.5625E-09,+550.2390043221E-03,+591.0731747390E-03,-2.6152611135E-03
+55.3437E-09,+554.7716675901E-03,+591.7163908125E-03,-3.2584771870E-03
+56.1250E-09,+562.2892554493E-03,+590.2390038937E-03,-3.2584771870E-03
+56.9062E-09,+570.3294563682E-03,+588.0580993944E-03,-3.2584771870E-03
+57.6875E-09,+575.2038281753E-03,+594.4500591249E-03,-6.6353615730E-03
+58.4687E-09,+579.0530743652E-03,+595.7364912720E-03,-3.9016932606E-03
+59.2500E-09,+583.0329738201E-03,+593.8369938049E-03,-4.7358641059E-03
+60.0312E-09,+587.0530742795E-03,+591.9977978447E-03,-6.9167686052E-03
+60.8125E-09,+594.4500591249E-03,+591.7163908125E-03,-3.9016932606E-03
+61.5937E-09,+597.2138781908E-03,+595.0932751985E-03,-3.2584771870E-03
+62.3750E-09,+599.3947826901E-03,+595.7364912720E-03,-5.1579746541E-03
+63.1562E-09,+599.7565917314E-03,+597.2138781908E-03,-6.9971706143E-03
+63.9375E-09,+599.7565917314E-03,+599.3947826901E-03,-3.9016932606E-03
+64.7187E-09,+599.7565917314E-03,+599.7565917314E-03,-3.2584771870E-03
+65.5000E-09,+599.7565917314E-03,+599.7565917314E-03,+118.4071989E-06
+66.2813E-09,+599.7565917314E-03,+599.7565917314E-03,+761.6232724E-06
+67.0625E-09,+599.7565917314E-03,+599.7565917314E-03,+761.6232724E-06
+67.8438E-09,+596.3797073455E-03,+593.0028229595E-03,+761.6232724E-06
+68.6250E-09,+595.7364912720E-03,+591.7163908125E-03,+761.6232724E-06
+69.4063E-09,+595.7364912720E-03,+591.7163908125E-03,+2.4500654654E-03
+70.1875E-09,+595.7364912720E-03,+590.0279486195E-03,+4.4601156951E-03
+70.9688E-09,+595.7364912720E-03,+588.0178983898E-03,+4.7817237319E-03
+71.7500E-09,+592.3596068860E-03,+577.5656371952E-03,+4.7817237319E-03
+72.5313E-09,+592.9827224572E-03,+568.8822202028E-03,+4.7817237319E-03
+73.3125E-09,+595.3344812260E-03,+560.8420192839E-03,+3.0932815389E-03
+74.0938E-09,+595.7364912720E-03,+555.5455369285E-03,+1.0832313092E-03
+74.8750E-09,+592.3596068860E-03,+548.6611148917E-03,+761.6232724E-06
+75.6563E-09,+593.4048330055E-03,+530.6108638288E-03,+4.1385076584E-03
+76.4375E-09,+595.4148832352E-03,+517.2641303034E-03,+4.7817237319E-03
+77.2188E-09,+595.7364912720E-03,+508.1586027627E-03,+4.7817237319E-03
+78.0000E-09,+592.3596068860E-03,+500.4601103828E-03,+4.7817237319E-03
+78.7813E-09,+595.0932751985E-03,+482.3696583153E-03,+1.4048393459E-03
+79.5625E-09,+595.7364912720E-03,+462.2691560180E-03,+761.6232724E-06
+80.3438E-09,+595.7364912720E-03,+442.1686537207E-03,-926.8189206E-06
+81.1250E-09,+599.1133756579E-03,+431.7766940330E-03,-2.9368691503E-03
