x-axis,1,2,3
second,Volt,Volt,Volt
-47.0000E-09,-5.2986781702E-03,-3.9016932606E-03,+1.4048393459E-03
-46.2188E-09,-3.5398842192E-03,+118.4071989E-06,-2.6152611135E-03
-45.4375E-09,+118.4071989E-06,-1.3489294688E-03,-3.2584771870E-03
-44.6563E-09,+761.6232724E-06,-3.0172711595E-03,-3.2584771870E-03
-43.8750E-09,-2.6152611135E-03,+118.4071989E-06,-3.2584771870E-03
-43.0938E-09,-3.2584771870E-03,+761.6232724E-06,+118.4071989E-06
-42.3125E-09,-3.2584771870E-03,+761.6232724E-06,+761.6232724E-06
-41.5313E-09,+118.4071989E-06,+761.6232724E-06,+761.6232724E-06
-40.7500E-09,+761.6232724E-06,+761.6232724E-06,-2.6152611135E-03
-39.9688E-09,-2.6152611135E-03,+761.6232724E-06,+118.4071989E-06
-39.1875E-09,-3.2584771870E-03,+761.6232724E-06,+761.6232724E-06
-38.4063E-09,-3.2584771870E-03,+761.6232724E-06,+761.6232724E-06
-37.6250E-09,-3.2584771870E-03,+761.6232724E-06,+761.6232724E-06
-36.8438E-09,+118.4071989E-06,-2.6152611135E-03,-2.6152611135E-03
-36.0625E-09,-1.1378741947E-03,+118.4071989E-06,+118.4071989E-06
-35.2813E-09,-2.9770701549E-03,+761.6232724E-06,+761.6232724E-06
-34.5000E-09,+118.4071989E-06,+761.6232724E-06,+761.6232724E-06
-33.7188E-09,-2.6152611135E-03,+761.6232724E-06,+761.6232724E-06
-32.9375E-09,-3.2584771870E-03,-2.6152611135E-03,+761.6232724E-06
-32.1563E-09,-3.2584771870E-03,+3.4952915848E-03,+761.6232724E-06
-31.3750E-09,-3.2584771870E-03,+1.4048393459E-03,+761.6232724E-06
-30.5938E-09,-3.2584771870E-03,+761.6232724E-06,+761.6232724E-06
-29.8125E-09,+118.4071989E-06,+761.6232724E-06,-2.6152611135E-03
-29.0313E-09,+761.6232724E-06,+761.6232724E-06,-3.2584771870E-03
-28.2500E-09,+761.6232724E-06,-2.6152611135E-03,-3.2584771870E-03
-27.4688E-09,-2.6152611135E-03,-1.5700349941E-03,-3.2584771870E-03
-26.6875E-09,-3.2584771870E-03,+440.0152357E-06,-3.2584771870E-03
-25.9063E-09,-3.2584771870E-03,-2.6152611135E-03,-3.2584771870E-03
-25.1250E-09,-1.7810902682E-03,-3.2584771870E-03,-3.2584771870E-03
-24.3438E-09,+399.8142311E-06,+3.4952915848E-03,-1.5700349941E-03
-23.5625E-09,+761.6232724E-06,+3.0932815389E-03,+440.0152357E-06
-22.7813E-09,-5.9921454995E-03,+1.0832313092E-03,+761.6232724E-06
-22.0000E-09,-3.4795827123E-03,-2.6152611135E-03,+761.6232724E-06
-21.2188E-09,+198.8092081E-06,+118.4071989E-06,+761.6232724E-06
-20.4375E-09,+761.6232724E-06,+761.6232724E-06,+761.6232724E-06
-19.6563E-09,-2.6152611135E-03,+761.6232724E-06,+761.6232724E-06
-18.8750E-09,-3.2584771870E-03,+761.6232724E-06,+761.6232724E-06
-18.0938E-09,-1.7810902682E-03,+761.6232724E-06,+761.6232724E-06
-17.3125E-09,+399.8142311E-06,+761.6232724E-06,-1.1378741947E-03
-16.5313E-09,+761.6232724E-06,+761.6232724E-06,-2.9770701549E-03
-15.7500E-09,+761.6232724E-06,+761.6232724E-06,-3.2584771870E-03
-14.9688E-09,+761.6232724E-06,+761.6232724E-06,-3.2584771870E-03
-14.1875E-09,+761.6232724E-06,+761.6232724E-06,+118.4071989E-06
-13.4063E-09,+761.6232724E-06,+761.6232724E-06,-926.8189206E-06
-12.6250E-09,+761.6232724E-06,+761.6232724E-06,-2.9368691503E-03
-11.8438E-09,+761.6232724E-06,-2.6152611135E-03,-3.2584771870E-03
-11.0625E-09,+2.4500654654E-03,-3.2584771870E-03,+118.4071989E-06
-10.2813E-09,+4.4601156951E-03,+118.4071989E-06,+761.6232724E-06
-9.5000E-09,+8.1586081178E-03,-1.1378741947E-03,+761.6232724E-06
-8.7188E-09,+12.1787085773E-03,-2.9770701549E-03,-2.6152611135E-03
-7.9375E-09,+19.5756934227E-03,+3.4952915848E-03,+118.4071989E-06
-7.1563E-09,+23.6058441333E-03,+1.4048393459E-03,-2.6152611135E-03
-6.3750E-09,+28.1385074013E-03,+761.6232724E-06,-1.7810902682E-03
-5.5938E-09,+42.4098640324E-03,+761.6232724E-06,+399.8142311E-06
-4.8125E-09,+58.4902658702E-03,+761.6232724E-06,+761.6232724E-06
-4.0313E-09,+70.3495622256E-03,-2.6152611135E-03,-2.6152611135E-03
-3.2500E-09,+79.7163962961E-03,+118.4071989E-06,-3.2584771870E-03
-2.4688E-09,+104.8018231631E-03,-1.1378741947E-03,-3.2584771870E-03
-1.6875E-09,+132.9425263793E-03,-2.9770701549E-03,+118.4071989E-06
-906.3E-12,+164.4601139815E-03,-3.2584771870E-03,-2.6152611135E-03
-125.0E-12,+181.8470484686E-03,+3.4952915848E-03,+118.4071989E-06
+656.2E-12,+198.9525759236E-03,+1.4048393459E-03,-1.1378741947E-03
+1.4375E-09,+235.5354901047E-03,+761.6232724E-06,-2.9770701549E-03
+2.2187E-09,+268.9827259273E-03,+761.6232724E-06,-3.2584771870E-03
+3.0000E-09,+289.7465448004E-03,+761.6232724E-06,-3.2584771870E-03
+3.7812E-09,+304.1184039430E-03,-2.6152611135E-03,-3.2584771870E-03
+4.5625E-09,+336.6812176646E-03,-3.2584771870E-03,-1.9921455423E-03
+5.3437E-09,+369.4852374138E-03,-3.2584771870E-03,+359.6132265E-06
+6.1250E-09,+398.2691567035E-03,+118.4071989E-06,+761.6232724E-06
+6.9062E-09,+412.6912671018E-03,-2.6152611135E-03,+761.6232724E-06
+7.6875E-09,+424.9224227497E-03,+3.4952915848E-03,+2.4500654654E-03
+8.4687E-09,+443.7766939045E-03,+4.7817237319E-03,+4.4601156951E-03
+9.2500E-09,+460.5003118158E-03,+4.7817237319E-03,+1.4048393459E-03
+10.0313E-09,+473.2038292677E-03,+4.7817237319E-03,+761.6232724E-06
+10.8125E-09,+477.6661407777E-03,+4.7817237319E-03,+761.6232724E-06
+11.5938E-09,+482.3696583153E-03,+6.6812211990E-03,-926.8189206E-06
+12.3750E-09,+489.9274471791E-03,+8.5204171592E-03,-2.9368691503E-03
+13.1563E-09,+491.2138793261E-03,+15.5555929632E-03,+118.4071989E-06
+13.9375E-09,+492.9023215191E-03,+23.5957938821E-03,+761.6232724E-06
+14.7188E-09,+494.9123717488E-03,+28.2591104151E-03,-1.3489294688E-03
+15.5000E-09,+491.8570953996E-03,+37.3445374535E-03,-3.0172711595E-03
+16.2812E-09,+494.5907637120E-03,+47.3947886021E-03,-3.2584771870E-03
+17.0625E-09,+491.8570953996E-03,+59.1334819437E-03,+118.4071989E-06
+17.8437E-09,+492.4802109708E-03,+77.9475520940E-03,-2.6152611135E-03
+18.6250E-09,+494.8319697396E-03,+101.4249387772E-03,-1.7810902682E-03
+19.4062E-09,+495.2339797856E-03,+114.9927778279E-03,+399.8142311E-06
+20.1875E-09,+495.2339797856E-03,+130.7716721312E-03,+761.6232724E-06
+20.9687E-09,+495.2339797856E-03,+157.0631291361E-03,+761.6232724E-06
+21.7500E-09,+495.2339797856E-03,+188.5807167382E-03,+761.6232724E-06
+22.5312E-09,+495.2339797856E-03,+208.2892592407E-03,+761.6232724E-06
+23.3125E-09,+495.2339797856E-03,+223.5153897309E-03,+761.6232724E-06
+24.0937E-09,+495.2339797856E-03,+263.0329772473E-03,+761.6232724E-06
+24.8750E-09,+496.7113667044E-03,+297.1234291435E-03,-2.6152611135E-03
+25.6562E-09,+498.8922712037E-03,+336.0380015911E-03,-1.5700349941E-03
+26.4375E-09,+499.2540802450E-03,+355.9776998700E-03,+440.0152357E-06
+27.2187E-09,+502.6309646310E-03,+375.4349860937E-03,-2.6152611135E-03
+28.0000E-09,+503.2741807045E-03,+405.6661415489E-03,-3.2584771870E-03
+28.7812E-09,+503.2741807045E-03,+441.2038296105E-03,-3.2584771870E-03
+29.5625E-09,+503.2741807045E-03,+458.6008143488E-03,-1.9921455423E-03
+30.3437E-09,+503.2741807045E-03,+469.4651358404E-03,+359.6132265E-06
+31.1250E-09,+503.2741807045E-03,+494.7515677304E-03,-2.6152611135E-03
+31.9062E-09,+503.2741807045E-03,+519.5153865607E-03,+3.4952915848E-03
+32.6875E-09,+503.2741807045E-03,+536.8822205455E-03,+2.8822262648E-03
+33.4687E-09,+499.8972963185E-03,+544.3093561444E-03,+1.0430303046E-03
+34.2500E-09,+499.2540802450E-03,+550.5103611031E-03,+761.6232724E-06
+35.0312E-09,+495.8771958591E-03,+561.6460393758E-03,+761.6232724E-06
+35.8125E-09,+495.2339797856E-03,+573.7063407541E-03,+761.6232724E-06
+36.5937E-09,+495.2339797856E-03,+577.5354864418E-03,+761.6232724E-06
+37.3750E-09,+495.2339797856E-03,+579.3746824020E-03,+761.6232724E-06
+38.1562E-09,+495.2339797856E-03,+583.0329738201E-03,+4.1385076584E-03
+38.9375E-09,+493.3344823185E-03,+580.2993055077E-03,+8.1586081178E-03
+39.7187E-09,+491.4952863583E-03,+583.0329738201E-03,+10.7013216584E-03
+40.5000E-09,+494.5907637120E-03,+583.6761898936E-03,+12.5405176186E-03
+41.2812E-09,+495.2339797856E-03,+583.6761898936E-03,+12.8219246508E-03
+42.0625E-09,+491.8570953996E-03,+583.6761898936E-03,+19.5756934227E-03
+42.8437E-09,+491.2138793261E-03,+580.2993055077E-03,+27.6158943416E-03
+43.6250E-09,+491.2138793261E-03,+579.6560894341E-03,+30.3797134075E-03
+44.4062E-09,+491.2138793261E-03,+580.9224210789E-03,+32.5606179067E-03
+45.1875E-09,+494.5907637120E-03,+583.2741798476E-03,+43.0530801059E-03
+45.9687E-09,+495.2339797856E-03,+580.2993055077E-03,+51.7364970983E-03
+46.7500E-09,+495.2339797856E-03,+579.6560894341E-03,+61.0430296620E-03
+47.5312E-09,+498.6108641715E-03,+581.3445316271E-03,+68.0581049637E-03
+48.3125E-09,+502.6309646310E-03,+583.3545818568E-03,+79.2339842410E-03
+49.0937E-09,+506.6510650904E-03,+583.6761898936E-03,+87.9174012334E-03
+49.8750E-09,+510.2490550016E-03,+583.6761898936E-03,+99.3344865383E-03
+50.6562E-09,+514.6108640001E-03,+583.6761898936E-03,+108.0179035307E-03
+51.4375E-09,+522.0882508547E-03,+583.6761898936E-03,+116.0581044496E-03
+52.2187E-09,+530.1284517736E-03,+583.6761898936E-03,+127.4751897545E-03
+53.0000E-09,+535.2138788548E-03,+587.0530742795E-03,+139.5354911328E-03
+53.7812E-09,+538.8922707752E-03,+587.6962903531E-03,+151.5957925112E-03
+54.5625E-09,+546.2088536115E-03,+587.6962903531E-03,+157.7465462142E-03
+55.3437E-09,+554.2490545304E-03,+587.6962903531E-03,+164.4601139815E-03
+56.1250E-09,+562.2892554493E-03,+591.0731747390E-03,+175.7163952680E-03
+56.9062E-09,+566.7415167081E-03,+591.7163908125E-03,+184.3998122604E-03
+57.6875E-09,+570.9324714371E-03,+595.0932751985E-03,+189.2741840675E-03
+58.4687E-09,+581.7465416731E-03,+594.0480490790E-03,+193.1234302574E-03
+59.2500E-09,+587.0530742795E-03,+592.0379988493E-03,+207.2339828701E-03
+60.0312E-09,+591.0731747390E-03,+591.7163908125E-03,+209.8068471641E-03
+60.8125E-09,+591.7163908125E-03,+595.0932751985E-03,+219.9375003220E-03
+61.5937E-09,+591.7163908125E-03,+595.7364912720E-03,+223.3445354614E-03
+62.3750E-09,+598.4701595844E-03,+595.7364912720E-03,+225.5254399606E-03
+63.1562E-09,+599.7565917314E-03,+595.7364912720E-03,+232.6410177739E-03
+63.9375E-09,+597.8570942643E-03,+599.1133756579E-03,+237.3043343068E-03
+64.7187E-09,+596.0178983041E-03,+599.7565917314E-03,+239.8470478474E-03
+65.5000E-09,+599.1133756579E-03,+599.7565917314E-03,+241.6862438076E-03
+66.2813E-09,+599.7565917314E-03,+599.7565917314E-03,+245.3445352257E-03
+67.0625E-09,+599.7565917314E-03,+599.7565917314E-03,+245.9877512993E-03
+67.8438E-09,+598.2792048126E-03,+599.7565917314E-03,+249.3646356852E-03
+68.6250E-09,+596.0983003133E-03,+603.1334761174E-03,+250.0078517587E-03
+69.4063E-09,+595.7364912720E-03,+600.8219183532E-03,+250.0078517587E-03
+70.1875E-09,+588.9827225001E-03,+596.4601093547E-03,+256.7616205306E-03
+70.9688E-09,+591.2842300131E-03,+595.7364912720E-03,+251.2942839057E-03
+71.7500E-09,+595.1334762030E-03,+595.7364912720E-03,+254.0179019670E-03
+72.5313E-09,+592.3596068860E-03,+591.9374963378E-03,+257.5254396179E-03
+73.3125E-09,+591.7163908125E-03,+588.2591044174E-03,+254.6711682917E-03
+74.0938E-09,+591.7163908125E-03,+580.9425215812E-03,+254.0279522182E-03
+74.8750E-09,+593.1937777314E-03,+576.2792050482E-03,+254.0279522182E-03
+75.6563E-09,+595.3746822306E-03,+568.8822202028E-03,+254.0279522182E-03
+76.4375E-09,+595.7364912720E-03,+565.9073458628E-03,+254.0279522182E-03
+77.2188E-09,+595.7364912720E-03,+563.8972956331E-03,+254.0279522182E-03
+78.0000E-09,+593.6259385307E-03,+550.0681500525E-03,+254.0279522182E-03
+78.7813E-09,+591.9575968401E-03,+544.1184013725E-03,+257.4048366041E-03
+79.5625E-09,+598.4701595844E-03,+539.4651350907E-03,+256.5706657588E-03
+80.3438E-09,+596.3797073455E-03,+535.9575974398E-03,+254.3897612595E-03
+81.1250E-09,+595.7364912720E-03,+525.3043312223E-03,+254.0279522182E-03
+81.9063E-09,+595.7364912720E-03,+513.2440298439E-03,+254.0279522182E-03
+82.6875E-09,+595.7364912720E-03,+497.8068440796E-03,+254.0279522182E-03
+83.4688E-09,+599.1133756579E-03,+491.8570953996E-03,+254.0279522182E-03
+84.2500E-09,+599.7565917314E-03,+487.8369949402E-03,+254.0279522182E-03
+85.0313E-09,+599.7565917314E-03,+477.0631257088E-03,+254.0279522182E-03
+85.8125E-09,+599.7565917314E-03,+465.0028243304E-03,+254.0279522182E-03
+86.5938E-09,+599.7565917314E-03,+456.7415178863E-03,+254.0279522182E-03
+87.3750E-09,+603.1334761174E-03,+451.7364928142E-03,+254.0279522182E-03
+88.1563E-09,+603.7766921909E-03,+437.5053371878E-03,+254.0279522182E-03
+88.9375E-09,+603.7766921909E-03,+424.8018197359E-03,+250.6510678322E-03
+89.7188E-09,+603.7766921909E-03,+412.7415183575E-03,+251.9073492258E-03
+90.5000E-09,+603.7766921909E-03,+403.8470460910E-03,+253.7465451860E-03
+91.2813E-09,+607.1535765768E-03,+395.9776994416E-03,+250.6510678322E-03
+92.0625E-09,+607.7967926503E-03,+387.9776995273E-03,+253.3847361447E-03
+92.8438E-09,+607.7967926503E-03,+379.9374986083E-03,+254.0279522182E-03
+93.6250E-09,+607.7967926503E-03,+371.8972976894E-03,+252.3395100252E-03
+94.4063E-09,+607.7967926503E-03,+366.1787047859E-03,+250.3294597955E-03
+95.1875E-09,+604.4199082644E-03,+359.6359912881E-03,+250.0078517587E-03
