x-axis,1,2,3
second,Volt,Volt,Volt
-47.0000E-09,-6.5169543741E-03,+2.2468646275E-03,-1.8787651570E-03
-46.2188E-09,-6.5169543741E-03,-2.2757483894E-03,+1.6388227450E-03
-45.4375E-09,+236.8143978E-06,-5.9541403098E-03,-4.5521319626E-03
-44.6563E-09,-5.2305222271E-03,+236.8143978E-06,+915.2046623E-06
-43.8750E-09,-9.8938387600E-03,+1.5232465448E-03,-4.5521319626E-03
-43.0938E-09,-13.9139392195E-03,-5.2305222271E-03,-2.4616797236E-03
-42.3125E-09,-7.8033865211E-03,-6.5169543741E-03,+1.5584207358E-03
-41.5313E-09,-6.5169543741E-03,-6.5169543741E-03,+2.2016368093E-03
-40.7500E-09,-10.7380598565E-03,+236.8143978E-06,+2.2016368093E-03
-39.9688E-09,-14.0747432379E-03,+1.5232465448E-03,+2.2016368093E-03
-39.1875E-09,-7.8033865211E-03,+1.5232465448E-03,+2.2016368093E-03
-38.4063E-09,-6.5169543741E-03,+1.5232465448E-03,+2.2016368093E-03
-37.6250E-09,+236.8143978E-06,-5.2305222271E-03,+2.2016368093E-03
-36.8438E-09,-1.8536378411E-03,+236.8143978E-06,+2.2016368093E-03
-36.0625E-09,-5.8737383006E-03,-5.2305222271E-03,+2.2016368093E-03
-35.2813E-09,-6.5169543741E-03,-6.5169543741E-03,+2.2016368093E-03
-34.5000E-09,+236.8143978E-06,-6.5169543741E-03,-4.5521319626E-03
-33.7188E-09,-5.2305222271E-03,-6.5169543741E-03,-5.8385641096E-03
-32.9375E-09,-6.5169543741E-03,+236.8143978E-06,-5.8385641096E-03
-32.1563E-09,-6.5169543741E-03,+1.5232465448E-03,-2.8837902719E-03
-31.3750E-09,-6.5169543741E-03,+1.5232465448E-03,+1.4780187266E-03
-30.5938E-09,+236.8143978E-06,-5.2305222271E-03,+2.2016368093E-03
-29.8125E-09,-2.2757483894E-03,-6.5169543741E-03,-4.5521319626E-03
-29.0313E-09,-5.9541403098E-03,+236.8143978E-06,-2.0395691754E-03
-28.2500E-09,-6.5169543741E-03,-2.2757483894E-03,+1.6388227450E-03
-27.4688E-09,-6.5169543741E-03,-5.9541403098E-03,-4.5521319626E-03
-26.6875E-09,-6.5169543741E-03,+236.8143978E-06,+915.2046623E-06
-25.9063E-09,-3.9842910846E-03,-5.2305222271E-03,+2.2016368093E-03
-25.1250E-09,+719.2264529E-06,+236.8143978E-06,+2.2016368093E-03
-24.3438E-09,-5.2305222271E-03,-1.4315272929E-03,+2.2016368093E-03
-23.5625E-09,-6.5169543741E-03,-5.7933362914E-03,+2.2016368093E-03
-22.7813E-09,-6.5169543741E-03,-6.5169543741E-03,-4.5521319626E-03
