x-axis,1,2,3
second,Volt,Volt,Volt
-42.0000E-09,-3.2584771870E-03,-203.2008379E-06,-2.7760651319E-03
-41.2188E-09,-3.2584771870E-03,-3.2584771870E-03,-766.0149022E-06
-40.4375E-09,-3.2584771870E-03,-3.2584771870E-03,+761.6232724E-06
-39.6563E-09,-3.2584771870E-03,-2.2936530768E-03,+761.6232724E-06
-38.8750E-09,-3.2584771870E-03,+761.6232724E-06,+761.6232724E-06
-38.0938E-09,-3.2584771870E-03,+761.6232724E-06,+279.2112173E-06
-37.3125E-09,-3.2584771870E-03,+761.6232724E-06,-1.7308390125E-03
-36.5313E-09,-3.2584771870E-03,+761.6232724E-06,-2.2936530768E-03
-35.7500E-09,-3.2584771870E-03,-203.2008379E-06,-203.2008379E-06
-34.9688E-09,-3.2584771870E-03,-3.2584771870E-03,-3.2584771870E-03
-34.1875E-09,-3.2584771870E-03,-2.7760651319E-03,-3.2584771870E-03
-33.4063E-09,-2.2936530768E-03,-766.0149022E-06,-3.2584771870E-03
-32.6250E-09,-203.2008379E-06,-203.2008379E-06,-2.2936530768E-03
-31.8438E-09,-2.8966681457E-03,-2.2936530768E-03,-203.2008379E-06
-31.0625E-09,-1.1479244458E-03,+761.6232724E-06,-3.2584771870E-03
-30.2813E-09,-203.2008379E-06,+761.6232724E-06,-3.2584771870E-03
-29.5000E-09,-3.2584771870E-03,+761.6232724E-06,-3.2584771870E-03
-28.7188E-09,-2.7760651319E-03,+761.6232724E-06,-3.2584771870E-03
-27.9375E-09,-766.0149022E-06,-203.2008379E-06,-3.2584771870E-03
-27.1563E-09,-203.2008379E-06,-2.7760651319E-03,-3.2584771870E-03
-26.3750E-09,-3.2584771870E-03,-766.0149022E-06,-3.2584771870E-03
-25.5938E-09,-3.2584771870E-03,+761.6232724E-06,-3.2584771870E-03
-24.8125E-09,-3.2584771870E-03,-203.2008379E-06,-2.2936530768E-03
-24.0313E-09,-3.2584771870E-03,-3.2584771870E-03,+218.9097104E-06
-23.2500E-09,-3.2584771870E-03,-2.8363666388E-03,-1.9217937843E-03
-22.4688E-09,-3.2584771870E-03,-956.9696740E-06,-2.2936530768E-03
-21.6875E-09,-3.2584771870E-03,+761.6232724E-06,-203.2008379E-06
-20.9063E-09,-3.2584771870E-03,+1.7264473827E-03,-3.2584771870E-03
-20.1250E-09,-3.2584771870E-03,+3.6359951009E-03,-3.2584771870E-03
-19.3438E-09,-2.2936530768E-03,-776.0651533E-06,-3.2584771870E-03
-18.5625E-09,-203.2008379E-06,-2.2936530768E-03,-3.2584771870E-03
-17.7813E-09,-3.2584771870E-03,+761.6232724E-06,-3.2584771870E-03
-17.0000E-09,-3.2584771870E-03,-203.2008379E-06,-2.7760651319E-03
-16.2188E-09,-3.2584771870E-03,-2.8363666388E-03,-766.0149022E-06
-15.4375E-09,-2.2936530768E-03,-956.9696740E-06,-203.2008379E-06
-14.6563E-09,+761.6232724E-06,+761.6232724E-06,-1.3288289665E-03
-13.8750E-09,+339.5127242E-06,+761.6232724E-06,+3.8168996216E-03
-13.0938E-09,-1.5398842406E-03,+761.6232724E-06,+279.2112173E-06
-12.3125E-09,-1.3288289665E-03,+761.6232724E-06,-1.7308390125E-03
-11.5313E-09,+4.7817237319E-03,-203.2008379E-06,-3.2584771870E-03
-10.7500E-09,+4.7817237319E-03,-3.2584771870E-03,-3.2584771870E-03
-9.9688E-09,+4.7817237319E-03,-2.2936530768E-03,-3.2584771870E-03
-9.1875E-09,+6.7113719524E-03,+218.9097104E-06,-3.2584771870E-03
-8.4063E-09,+13.7867487610E-03,-1.9217937843E-03,-2.2936530768E-03
-7.6250E-09,+19.7364974410E-03,-2.2936530768E-03,-203.2008379E-06
-6.8438E-09,+30.1083566264E-03,+761.6232724E-06,-3.2584771870E-03
-6.0625E-09,+35.6158942559E-03,+761.6232724E-06,-2.8363666388E-03
-5.2813E-09,+44.8219243081E-03,+761.6232724E-06,-956.9696740E-06
-4.5000E-09,+61.8671502561E-03,+761.6232724E-06,+761.6232724E-06
-3.7188E-09,+80.2792103605E-03,-203.2008379E-06,-203.2008379E-06
-2.9375E-09,+92.8621247986E-03,-2.2936530768E-03,-2.7157636250E-03
-2.1563E-09,+108.0179035307E-03,+761.6232724E-06,-575.0601304E-06
-1.3750E-09,+137.1234308572E-03,+761.6232724E-06,+761.6232724E-06
-593.8E-12,+169.2842345328E-03,+761.6232724E-06,+761.6232724E-06
+187.5E-12,+197.6460432743E-03,-203.2008379E-06,+761.6232724E-06
+968.7E-12,+214.8219224873E-03,-1.3288289665E-03,+1.2440353275E-03
+1.7500E-09,+238.5907664539E-03,+4.2993116767E-03,+3.2540855573E-03
+2.5312E-09,+272.8420223684E-03,+2.2892614470E-03,+3.8168996216E-03
+3.3125E-09,+299.8369969537E-03,+761.6232724E-06,-203.2008379E-06
+4.0937E-09,+321.6359916951E-03,-203.2008379E-06,-3.2584771870E-03
+4.8750E-09,+342.1485542895E-03,-2.7157636250E-03,-3.2584771870E-03
+5.6562E-09,+373.3445338548E-03,-575.0601304E-06,-3.2584771870E-03
+6.4375E-09,+401.4852370710E-03,+761.6232724E-06,-2.2936530768E-03
+7.2187E-09,+424.7415182290E-03,+761.6232724E-06,+761.6232724E-06
+8.0000E-09,+432.6510658830E-03,+761.6232724E-06,+218.9097104E-06
+8.7812E-09,+443.7766939045E-03,+1.1837338207E-03,-1.9217937843E-03
+9.5625E-09,+461.9475479813E-03,+3.0631307854E-03,-2.2936530768E-03
+10.3438E-09,+473.0430252494E-03,+3.8168996216E-03,-203.2008379E-06
+11.1250E-09,+479.8771960304E-03,+1.7264473827E-03,-3.2584771870E-03
+11.9063E-09,+483.3746834302E-03,+5.3244372939E-03,-3.2584771870E-03
+12.6875E-09,+488.1586029769E-03,+7.4651407886E-03,-3.2584771870E-03
+13.4688E-09,+491.2138793261E-03,+10.7314724119E-03,-3.2584771870E-03
+14.2500E-09,+491.6962913812E-03,+17.8068492205E-03,-3.2584771870E-03
+15.0313E-09,+493.7063416110E-03,+22.7917737902E-03,-2.7157636250E-03
+15.8125E-09,+494.2691556753E-03,+29.8671505989E-03,-575.0601304E-06
+16.5938E-09,+491.2138793261E-03,+33.8872510583E-03,-203.2008379E-06
+17.3750E-09,+492.1787034364E-03,+40.8018238486E-03,-2.2936530768E-03
+18.1563E-09,+495.2339797856E-03,+55.9174015762E-03,-203.2008379E-06
+18.9375E-09,+495.2339797856E-03,+68.9425270648E-03,-2.8363666388E-03
+19.7188E-09,+495.2339797856E-03,+82.7314716407E-03,-956.9696740E-06
+20.5000E-09,+496.1988038958E-03,+89.9877529700E-03,+761.6232724E-06
+21.2812E-09,+498.7113666830E-03,+103.9978030713E-03,-203.2008379E-06
+22.0625E-09,+496.5706631883E-03,+130.2088580669E-03,-2.7157636250E-03
+22.8437E-09,+495.2339797856E-03,+148.5606166643E-03,-575.0601304E-06
+23.6250E-09,+495.2339797856E-03,+161.0128778375E-03,+761.6232724E-06
+24.4062E-09,+496.1988038958E-03,+176.3596113415E-03,+761.6232724E-06
+25.1875E-09,+499.2540802450E-03,+204.5003145577E-03,-203.2008379E-06
+25.9687E-09,+499.2540802450E-03,+230.7113695533E-03,-3.8011907491E-03
+26.7500E-09,+499.2540802450E-03,+248.5204145887E-03,-5.9418942437E-03
+27.5312E-09,+500.2189043553E-03,+259.7967963775E-03,-5.3489294260E-03
+28.3125E-09,+503.2741807045E-03,+273.9676504971E-03,-203.2008379E-06
+29.0937E-09,+503.2741807045E-03,+291.0128764452E-03,-2.2936530768E-03
+29.8750E-09,+503.2741807045E-03,+308.4601124392E-03,+761.6232724E-06
+30.6562E-09,+502.3093565942E-03,+317.0229264178E-03,+761.6232724E-06
+31.4375E-09,+498.2892561347E-03,+325.2641323597E-03,+761.6232724E-06
+32.2187E-09,+494.7515677304E-03,+337.3244337381E-03,-203.2008379E-06
+33.0000E-09,+492.7415175007E-03,+349.3847351165E-03,-2.7760651319E-03
+33.7812E-09,+491.2138793261E-03,+358.5505641640E-03,-766.0149022E-06
+34.5625E-09,+489.2842311056E-03,+358.5505641640E-03,+761.6232724E-06
+35.3437E-09,+482.2088542969E-03,+358.5505641640E-03,+761.6232724E-06
+36.1250E-09,+478.7314673995E-03,+359.5153882743E-03,+761.6232724E-06
+36.9062E-09,+476.8520704347E-03,+362.5706646235E-03,+1.1837338207E-03
+37.6875E-09,+473.2038292677E-03,+362.5706646235E-03,+3.0631307854E-03
+38.4687E-09,+466.1284524591E-03,+361.6058405132E-03,+4.7817237319E-03
+39.2500E-09,+462.0480504927E-03,+359.5153882743E-03,+5.7465478421E-03
+40.0312E-09,+457.8972967684E-03,+361.6058405132E-03,+9.3445377533E-03
+40.8125E-09,+452.1385028602E-03,+358.5505641640E-03,+11.4852412480E-03
+41.5937E-09,+441.0430255921E-03,+358.5505641640E-03,+14.7515728713E-03
+42.3750E-09,+432.0380005629E-03,+357.5857400538E-03,+21.8269496800E-03
+43.1562E-09,+422.0279504189E-03,+354.5304637046E-03,+27.7766983600E-03
+43.9375E-09,+418.2691564893E-03,+354.5304637046E-03,+37.3646379558E-03
+44.7187E-09,+411.9374982656E-03,+354.8922727459E-03,+39.2440349206E-03
+45.5000E-09,+400.8420209975E-03,+356.6410164458E-03,+43.8571001978E-03
+46.2812E-09,+393.6460411751E-03,+359.5153882743E-03,+55.9174015762E-03
+47.0625E-09,+389.3646341858E-03,+361.6058405132E-03,+66.7716728167E-03
+47.8437E-09,+383.7967950494E-03,+358.5505641640E-03,+73.3244365656E-03
+48.6250E-09,+373.6661418916E-03,+358.5505641640E-03,+80.0380043329E-03
+49.4062E-09,+368.6812173219E-03,+359.5153882743E-03,+92.0983057113E-03
+50.1875E-09,+362.5706646235E-03,+362.5706646235E-03,+106.0882553102E-03
+50.9687E-09,+362.5706646235E-03,+362.5706646235E-03,+122.8118732215E-03
+51.7500E-09,+361.6058405132E-03,+362.5706646235E-03,+128.8420239107E-03
+52.5312E-09,+358.5505641640E-03,+362.5706646235E-03,+137.2842348756E-03
+53.3125E-09,+359.0932777261E-03,+363.5354887338E-03,+153.3646367134E-03
+54.0937E-09,+361.2339812207E-03,+365.6259409727E-03,+169.4450385512E-03
+54.8750E-09,+363.5354887338E-03,+362.5706646235E-03,+182.8118725789E-03
+55.6562E-09,+366.5907650829E-03,+362.5706646235E-03,+188.1887569434E-03
+56.4375E-09,+367.5555891932E-03,+363.5354887338E-03,+196.6209176571E-03
+57.2187E-09,+371.0329760906E-03,+366.5907650829E-03,+209.6460431458E-03
+58.0000E-09,+372.9123730554E-03,+367.5555891932E-03,+222.8922741597E-03
+58.7812E-09,+374.6309660019E-03,+370.6108655424E-03,+227.0430278841E-03
+59.5625E-09,+375.5957901121E-03,+370.6108655424E-03,+232.8018217922E-03
+60.3437E-09,+379.6158905716E-03,+369.6460414321E-03,+243.8972990603E-03
+61.1250E-09,+382.2490563725E-03,+368.5204133035E-03,+251.9374999792E-03
+61.9062E-09,+380.3696594077E-03,+374.6309660019E-03,+258.4701632259E-03
+62.6875E-09,+379.6158905716E-03,+374.6309660019E-03,+260.3495601907E-03
+63.4687E-09,+382.6711669208E-03,+374.6309660019E-03,+263.0329772473E-03
+64.2500E-09,+383.1535789759E-03,+375.5957901121E-03,+267.0530777068E-03
+65.0312E-09,+385.1636292056E-03,+379.6158905716E-03,+270.6510676180E-03
+65.8125E-09,+385.7264432700E-03,+382.6711669208E-03,+272.7917711127E-03
+66.5938E-09,+382.6711669208E-03,+382.6711669208E-03,+275.0932786257E-03
+67.3750E-09,+381.7063428105E-03,+382.6711669208E-03,+278.1485549749E-03
+68.1563E-09,+378.6510664613E-03,+382.6711669208E-03,+279.1133790852E-03
+68.9375E-09,+378.6510664613E-03,+382.6711669208E-03,+282.5907659826E-03
+69.7188E-09,+378.6510664613E-03,+382.2490563725E-03,+284.4701629474E-03
+70.5000E-09,+377.6862423510E-03,+380.3696594077E-03,+285.2239317835E-03
+71.2813E-09,+375.1133780570E-03,+378.6510664613E-03,+281.2038313241E-03
+72.0625E-09,+377.1234282867E-03,+377.6862423510E-03,+278.1485549749E-03
+72.8438E-09,+378.6510664613E-03,+374.6309660019E-03,+278.1485549749E-03
+73.6250E-09,+377.6862423510E-03,+374.6309660019E-03,+278.1485549749E-03
+74.4063E-09,+374.6309660019E-03,+374.6309660019E-03,+277.1837308646E-03
+75.1875E-09,+374.6309660019E-03,+373.6661418916E-03,+275.0932786257E-03
+75.9688E-09,+374.6309660019E-03,+368.6812173219E-03,+278.1485549749E-03
+76.7500E-09,+375.5957901121E-03,+362.9927751717E-03,+278.1485549749E-03
+77.5313E-09,+377.6862423510E-03,+364.8721721365E-03,+277.1837308646E-03
+78.3125E-09,+374.6309660019E-03,+365.6259409727E-03,+275.0932786257E-03
+79.0938E-09,+374.6309660019E-03,+361.6058405132E-03,+277.1837308646E-03
+79.8750E-09,+375.5957901121E-03,+357.9475490951E-03,+274.4902635568E-03
+80.6563E-09,+377.6862423510E-03,+355.6761923355E-03,+276.2390072567E-03
+81.4375E-09,+374.6309660019E-03,+354.5304637046E-03,+279.1133790852E-03
+82.2188E-09,+374.6309660019E-03,+353.5656395943E-03,+282.1686554344E-03
+83.0000E-09,+374.6309660019E-03,+350.5103632451E-03,+281.6259418723E-03
+83.7813E-09,+374.6309660019E-03,+349.5455391349E-03,+279.4852383777E-03
+84.5625E-09,+374.6309660019E-03,+345.5254386754E-03,+279.1133790852E-03
+85.3438E-09,+374.6309660019E-03,+343.4349864365E-03,+283.1334795446E-03
+86.1250E-09,+374.6309660019E-03,+345.5254386754E-03,+285.2239317835E-03
+86.9063E-09,+374.6309660019E-03,+341.8671472573E-03,+282.1686554344E-03
+87.6875E-09,+375.5957901121E-03,+339.5957904977E-03,+282.1686554344E-03
+88.4688E-09,+378.6510664613E-03,+338.4500618668E-03,+281.2038313241E-03
+89.2500E-09,+379.1334785165E-03,+338.4500618668E-03,+279.1133790852E-03
+90.0313E-09,+381.1435287462E-03,+338.4500618668E-03,+282.7113689964E-03
+90.8125E-09,+382.6711669208E-03,+337.9073483047E-03,+284.8520724910E-03
+91.5938E-09,+383.6359910310E-03,+335.7666448101E-03,+285.2239317835E-03
+92.3750E-09,+387.6560914905E-03,+333.4651372970E-03,+282.1686554344E-03
+93.1563E-09,+390.2892572914E-03,+329.4450368376E-03,+283.1334795446E-03
+93.9375E-09,+388.4098603266E-03,+327.3545845987E-03,+285.7063438387E-03
+94.7188E-09,+387.6560914905E-03,+329.9877503996E-03,+283.6962936090E-03
+95.5000E-09,+391.6761919500E-03,+328.1083534348E-03,+282.1686554344E-03
+96.2813E-09,+394.7314682991E-03,+326.3897604884E-03,+282.1686554344E-03
+97.0625E-09,+394.7314682991E-03,+327.3545845987E-03,+282.1686554344E-03
+97.8438E-09,+394.7314682991E-03,+330.4098609478E-03,+282.1686554344E-03
+98.6250E-09,+393.7666441889E-03,+330.4098609478E-03,+281.2038313241E-03
+99.4063E-09,+390.7113678397E-03,+330.4098609478E-03,+277.1837308646E-03
+100.1875E-09,+390.2289557846E-03,+329.4450368376E-03,+275.0932786257E-03
+100.9688E-09,+388.2189055548E-03,+328.3194087089E-03,+277.6058414129E-03
+101.7500E-09,+385.7264432700E-03,+334.4299614073E-03,+275.4651379182E-03
+102.5313E-09,+381.7063428105E-03,+334.4299614073E-03,+275.0932786257E-03
+103.3125E-09,+378.6510664613E-03,+333.4651372970E-03,+277.1837308646E-03
+104.0938E-09,+378.6510664613E-03,+332.3395091684E-03,+274.1284545154E-03
+104.8750E-09,+376.7214182408E-03,+337.8470467978E-03,+274.4902635568E-03
+105.6563E-09,+369.6460414321E-03,+335.5756900382E-03,+276.2390072567E-03
+106.4375E-09,+365.6259409727E-03,+334.4299614073E-03,+277.1837308646E-03
+107.2188E-09,+362.0882525684E-03,+335.3947855176E-03,+275.0932786257E-03
+108.0000E-09,+360.0782023386E-03,+336.5204136462E-03,+278.6309670300E-03
+108.7813E-09,+358.5505641640E-03,+330.8319714961E-03,+280.6410172598E-03
+109.5625E-09,+356.6209159435E-03,+332.7113684609E-03,+282.1686554344E-03
+110.3438E-09,+351.4751873554E-03,+334.4299614073E-03,+283.1334795446E-03
+111.1250E-09,+353.7465441150E-03,+333.4651372970E-03,+286.1887558938E-03
