x-axis,1,2,3
second,Volt,Volt,Volt
-42.0000E-09,-1.7308390125E-03,-4.2233012973E-03,-2.7760651319E-03
-41.2188E-09,-3.2584771870E-03,-6.8564670983E-03,-766.0149022E-06
-40.4375E-09,-3.2584771870E-03,-4.9770701335E-03,+761.6232724E-06
-39.6563E-09,-3.2584771870E-03,-3.2584771870E-03,+761.6232724E-06
-38.8750E-09,-3.2584771870E-03,-4.2233012973E-03,-203.2008379E-06
-38.0938E-09,-3.2584771870E-03,-6.7358640845E-03,-3.2584771870E-03
-37.3125E-09,-3.2584771870E-03,-4.5951605898E-03,-3.2584771870E-03
-36.5313E-09,-3.2584771870E-03,-3.2584771870E-03,-3.2584771870E-03
-35.7500E-09,-3.2584771870E-03,-3.2584771870E-03,-3.2584771870E-03
-34.9688E-09,-3.2584771870E-03,-3.2584771870E-03,-3.2584771870E-03
-34.1875E-09,-2.2936530768E-03,-2.7760651319E-03,-3.2584771870E-03
-33.4063E-09,-203.2008379E-06,-766.0149022E-06,-2.2936530768E-03
-32.6250E-09,-3.2584771870E-03,-203.2008379E-06,-203.2008379E-06
-31.8438E-09,-2.8966681457E-03,-3.2584771870E-03,-2.2936530768E-03
-31.0625E-09,-1.1479244458E-03,-2.2936530768E-03,+279.2112173E-06
-30.2813E-09,+761.6232724E-06,+761.6232724E-06,-1.7308390125E-03
-29.5000E-09,-203.2008379E-06,+761.6232724E-06,-3.2584771870E-03
-28.7188E-09,-3.2584771870E-03,+761.6232724E-06,-2.2936530768E-03
-27.9375E-09,-3.2584771870E-03,-203.2008379E-06,+761.6232724E-06
-27.1563E-09,-2.2936530768E-03,-2.7760651319E-03,+761.6232724E-06
-26.3750E-09,+761.6232724E-06,-766.0149022E-06,-203.2008379E-06
-25.5938E-09,-203.2008379E-06,+761.6232724E-06,-2.2936530768E-03
-24.8125E-09,-3.2584771870E-03,+761.6232724E-06,+761.6232724E-06
-24.0313E-09,-3.2584771870E-03,-203.2008379E-06,+218.9097104E-06
-23.2500E-09,-3.2584771870E-03,-3.2584771870E-03,-1.9217937843E-03
-22.4688E-09,-2.2936530768E-03,-3.2584771870E-03,-3.2584771870E-03
-21.6875E-09,+158.6082035E-06,-3.2584771870E-03,-3.2584771870E-03
-20.9063E-09,-2.1127485561E-03,-2.2936530768E-03,-3.2584771870E-03
-20.1250E-09,-2.2936530768E-03,+158.6082035E-06,-2.8966681457E-03
-19.3438E-09,+761.6232724E-06,-2.1127485561E-03,-1.1479244458E-03
-18.5625E-09,+761.6232724E-06,-3.2584771870E-03,-203.2008379E-06
-17.7813E-09,+279.2112173E-06,-2.2936530768E-03,-3.2584771870E-03
-17.0000E-09,-1.7308390125E-03,+761.6232724E-06,-3.2584771870E-03
-16.2188E-09,-3.2584771870E-03,+279.2112173E-06,-3.2584771870E-03
-15.4375E-09,-3.2584771870E-03,-1.7308390125E-03,-2.2936530768E-03
-14.6563E-09,-2.2936530768E-03,-3.2584771870E-03,-203.2008379E-06
-13.8750E-09,+761.6232724E-06,-2.2936530768E-03,-3.2584771870E-03
-13.0938E-09,+761.6232724E-06,+158.6082035E-06,-2.8363666388E-03
-12.3125E-09,+761.6232724E-06,-2.1127485561E-03,-956.9696740E-06
-11.5313E-09,+761.6232724E-06,-2.2936530768E-03,+761.6232724E-06
-10.7500E-09,+1.2440353275E-03,-203.2008379E-06,-203.2008379E-06
-9.9688E-09,+3.2540855573E-03,-2.2936530768E-03,-3.2584771870E-03
-9.1875E-09,+6.7113719524E-03,+218.9097104E-06,-3.2584771870E-03
-8.4063E-09,+13.7867487610E-03,-1.9217937843E-03,-3.2584771870E-03
-7.6250E-09,+19.7364974410E-03,-2.2936530768E-03,-3.2584771870E-03
-6.8438E-09,+30.1083566264E-03,+761.6232724E-06,-3.2584771870E-03
-6.0625E-09,+35.6158942559E-03,-203.2008379E-06,-3.2584771870E-03
-5.2813E-09,+44.8219243081E-03,-3.2584771870E-03,-3.2584771870E-03
-4.5000E-09,+62.8319743664E-03,-3.2584771870E-03,-2.2936530768E-03
-3.7188E-09,+83.8168987648E-03,-3.2584771870E-03,+761.6232724E-06
-2.9375E-09,+94.3897629732E-03,-3.2584771870E-03,+158.6082035E-06
-2.1563E-09,+108.9827276410E-03,-3.2584771870E-03,-2.1127485561E-03
-1.3750E-09,+140.1787072064E-03,-3.2584771870E-03,-2.2936530768E-03
-593.8E-12,+169.2842345328E-03,-3.2584771870E-03,-203.2008379E-06
+187.5E-12,+197.2239327260E-03,-3.2584771870E-03,-2.2936530768E-03
+968.7E-12,+212.5204149743E-03,-3.2584771870E-03,+218.9097104E-06
+1.7500E-09,+234.5706659944E-03,-3.2584771870E-03,-1.9217937843E-03
+2.5312E-09,+270.7515701295E-03,-3.2584771870E-03,-3.2584771870E-03
+3.3125E-09,+303.2540823442E-03,-3.2584771870E-03,-2.2936530768E-03
+4.0937E-09,+322.7817203260E-03,-3.2584771870E-03,+761.6232724E-06
+4.8750E-09,+341.1837301792E-03,-3.2584771870E-03,+339.5127242E-06
+5.6562E-09,+370.2892575056E-03,-3.2584771870E-03,-1.5398842406E-03
+6.4375E-09,+401.4852370710E-03,-2.2936530768E-03,-3.2584771870E-03
+7.2187E-09,+424.7415182290E-03,+761.6232724E-06,-3.2584771870E-03
+8.0000E-09,+432.6510658830E-03,+761.6232724E-06,-2.7760651319E-03
+8.7812E-09,+442.8118697942E-03,+761.6232724E-06,-766.0149022E-06
+9.5625E-09,+458.8922716321E-03,+761.6232724E-06,-203.2008379E-06
+10.3438E-09,+473.0430252494E-03,+761.6232724E-06,-3.2584771870E-03
+11.1250E-09,+479.8771960304E-03,+761.6232724E-06,-2.2936530768E-03
+11.9063E-09,+483.3746834302E-03,+1.3043368344E-03,+761.6232724E-06
+12.6875E-09,+488.1586029769E-03,+3.4450403291E-03,+761.6232724E-06
+13.4688E-09,+491.2138793261E-03,+5.7465478421E-03,-203.2008379E-06
+14.2500E-09,+491.6962913812E-03,+11.6962965221E-03,-3.2584771870E-03
+15.0313E-09,+493.7063416110E-03,+21.8269496800E-03,-3.2584771870E-03
+15.8125E-09,+495.2339797856E-03,+26.3294621946E-03,-3.2584771870E-03
+16.5938E-09,+495.2339797856E-03,+32.3596128837E-03,-2.2936530768E-03
+17.3750E-09,+495.2339797856E-03,+38.8721756281E-03,-203.2008379E-06
+18.1563E-09,+494.8118692373E-03,+48.8420247675E-03,-2.2936530768E-03
+18.9375E-09,+492.9324722725E-03,+65.8872507156E-03,+279.2112173E-06
+19.7188E-09,+492.1787034364E-03,+82.7314716407E-03,-1.7308390125E-03
+20.5000E-09,+494.2691556753E-03,+89.9877529700E-03,-2.2936530768E-03
+21.2812E-09,+491.2138793261E-03,+103.0329789610E-03,-203.2008379E-06
+22.0625E-09,+491.2138793261E-03,+127.1535817177E-03,-2.7157636250E-03
+22.8437E-09,+492.1787034364E-03,+148.5606166643E-03,-575.0601304E-06
+23.6250E-09,+495.2339797856E-03,+161.0128778375E-03,-203.2008379E-06
+24.4062E-09,+495.2339797856E-03,+175.3947872312E-03,-3.2584771870E-03
+25.1875E-09,+495.6560903338E-03,+199.5153899879E-03,-2.2936530768E-03
+25.9687E-09,+497.5354872986E-03,+223.6359927447E-03,+761.6232724E-06
+26.7500E-09,+499.2540802450E-03,+244.5003141293E-03,+761.6232724E-06
+27.5312E-09,+499.2540802450E-03,+255.7766959180E-03,+761.6232724E-06
+28.3125E-09,+499.7967938070E-03,+270.9123741479E-03,+761.6232724E-06
+29.0937E-09,+501.9374973017E-03,+290.0480523349E-03,-203.2008379E-06
+29.8750E-09,+502.3093565942E-03,+304.9827255418E-03,-2.8966681457E-03
+30.6562E-09,+500.2189043553E-03,+315.6862430151E-03,-1.1479244458E-03
+31.4375E-09,+501.3445324839E-03,+325.2641323597E-03,-203.2008379E-06
+32.2187E-09,+494.7515677304E-03,+337.3244337381E-03,-2.2936530768E-03
+33.0000E-09,+492.7415175007E-03,+348.4199110062E-03,+218.9097104E-06
+33.7812E-09,+491.2138793261E-03,+354.9525742528E-03,-1.9217937843E-03
+34.5625E-09,+489.2842311056E-03,+356.8319712176E-03,-2.2936530768E-03
+35.3437E-09,+483.1736784072E-03,+359.5153882743E-03,+761.6232724E-06
+36.1250E-09,+482.3897588176E-03,+361.6058405132E-03,+1.7264473827E-03
+36.9062E-09,+478.7616181529E-03,+359.0932777261E-03,+5.2038342801E-03
+37.6875E-09,+474.1686533780E-03,+361.2339812207E-03,+7.0832312449E-03
+38.4687E-09,+469.1837288083E-03,+362.5706646235E-03,+9.7666483016E-03
+39.2500E-09,+461.5656384376E-03,+361.6058405132E-03,+14.7515728713E-03
+40.0312E-09,+455.4048344835E-03,+358.5505641640E-03,+21.9475526937E-03
