time	V(n001)	V(n002)	V(n003)
0.000000000000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.006310719978738e-09	0.000000e+00	0.000000e+00	0.000000e+00
2.000000000000000e-09	0.000000e+00	0.000000e+00	0.000000e+00
2.003785714285714e-09	1.766137e-07	0.000000e+00	0.000000e+00
2.007571428571428e-09	6.820761e-07	0.000000e+00	0.000000e+00
2.011357142857142e-09	1.516387e-06	0.000000e+00	0.000000e+00
2.015142857142856e-09	2.679547e-06	0.000000e+00	0.000000e+00
2.018928571428570e-09	4.171555e-06	0.000000e+00	0.000000e+00
2.022714285714284e-09	5.992411e-06	0.000000e+00	0.000000e+00
2.026499999999997e-09	8.142117e-06	0.000000e+00	0.000000e+00
2.027499999999997e-09	8.763382e-06	0.000000e+00	0.000000e+00
2.039357142857139e-09	1.793883e-05	0.000000e+00	0.000000e+00
2.051214285714281e-09	3.016588e-05	0.000000e+00	0.000000e+00
2.063071428571422e-09	4.544456e-05	0.000000e+00	0.000000e+00
2.074928571428564e-09	6.377484e-05	0.000000e+00	0.000000e+00
2.086785714285705e-09	8.515674e-05	0.000000e+00	0.000000e+00
2.098642857142847e-09	1.095902e-04	0.000000e+00	0.000000e+00
2.110499999999989e-09	1.370754e-04	0.000000e+00	0.000000e+00
2.132642857142843e-09	1.965739e-04	0.000000e+00	0.000000e+00
2.154785714285698e-09	2.655247e-04	0.000000e+00	0.000000e+00
2.176928571428553e-09	3.439278e-04	0.000000e+00	0.000000e+00
2.199071428571408e-09	4.317832e-04	0.000000e+00	0.000000e+00
2.221214285714263e-09	5.290909e-04	0.000000e+00	0.000000e+00
2.243357142857117e-09	6.358509e-04	0.000000e+00	0.000000e+00
2.265499999999972e-09	7.520632e-04	0.000000e+00	0.000000e+00
2.305071428571396e-09	9.829191e-04	0.000000e+00	0.000000e+00
2.344642857142821e-09	1.238130e-03	0.000000e+00	0.000000e+00
2.384214285714245e-09	1.517694e-03	0.000000e+00	0.000000e+00
2.423785714285670e-09	1.821614e-03	0.000000e+00	0.000000e+00
2.463357142857094e-09	2.149887e-03	0.000000e+00	0.000000e+00
2.502928571428518e-09	2.502515e-03	0.000000e+00	0.000000e+00
2.542499999999942e-09	2.879498e-03	0.000000e+00	0.000000e+00
2.610785714285649e-09	3.584033e-03	0.000000e+00	0.000000e+00
2.679071428571356e-09	4.338469e-03	0.000000e+00	0.000000e+00
2.747357142857063e-09	5.142807e-03	0.000000e+00	0.000000e+00
2.815642857142770e-09	5.997045e-03	0.000000e+00	0.000000e+00
2.883928571428477e-09	6.901184e-03	0.000000e+00	0.000000e+00
2.952214285714184e-09	7.855224e-03	0.000000e+00	0.000000e+00
3.020499999999891e-09	8.859165e-03	0.000000e+00	0.000000e+00
3.051499999999888e-09	9.324246e-03	0.000000e+00	0.000000e+00
3.176785714285601e-09	1.130860e-02	0.000000e+00	0.000000e+00
3.302071428571314e-09	1.337674e-02	0.000000e+00	0.000000e+00
3.427357142857027e-09	1.552866e-02	0.000000e+00	0.000000e+00
3.552642857142740e-09	1.776436e-02	0.000000e+00	0.000000e+00
3.677928571428453e-09	2.008384e-02	0.000000e+00	0.000000e+00
3.803214285714166e-09	2.248710e-02	0.000000e+00	0.000000e+00
3.928499999999879e-09	2.497415e-02	0.000000e+00	0.000000e+00
4.075499999999924e-09	2.793057e-02	0.000000e+00	0.000000e+00
4.221642857142826e-09	3.094723e-02	0.000000e+00	0.000000e+00
4.367785714285728e-09	3.400221e-02	0.000000e+00	0.000000e+00
4.513928571428629e-09	3.709550e-02	0.000000e+00	0.000000e+00
4.660071428571532e-09	4.022710e-02	0.000000e+00	0.000000e+00
4.806214285714434e-09	4.339702e-02	0.000000e+00	0.000000e+00
4.952357142857336e-09	4.660526e-02	0.000000e+00	0.000000e+00
5.098500000000238e-09	4.985181e-02	0.000000e+00	0.000000e+00
5.099500000000238e-09	4.987402e-02	0.000000e+00	0.000000e+00
5.245642857143140e-09	5.313548e-02	0.000000e+00	0.000000e+00
5.391785714286042e-09	5.641070e-02	0.000000e+00	0.000000e+00
5.537928571428944e-09	5.969968e-02	0.000000e+00	0.000000e+00
5.684071428571846e-09	6.300243e-02	0.000000e+00	0.000000e+00
5.830214285714748e-09	6.631894e-02	0.000000e+00	0.000000e+00
5.976357142857650e-09	6.964921e-02	0.000000e+00	0.000000e+00
6.122500000000552e-09	7.299324e-02	0.000000e+00	0.000000e+00
6.123500000000552e-09	7.301612e-02	0.000000e+00	0.000000e+00
7.147500000000866e-09	9.658875e-02	0.000000e+00	0.000000e+00
8.171500000000584e-09	1.203160e-01	0.000000e+00	0.000000e+00
9.195500000000051e-09	1.440988e-01	0.000000e+00	0.000000e+00
1.021949999999952e-08	1.679016e-01	0.000000e+00	0.000000e+00
1.124349999999898e-08	1.917116e-01	0.000000e+00	0.000000e+00
1.226749999999845e-08	2.155241e-01	0.000000e+00	0.000000e+00
1.329149999999792e-08	2.393375e-01	0.000000e+00	0.000000e+00
1.431549999999739e-08	2.631513e-01	0.000000e+00	0.000000e+00
1.533949999999758e-08	2.869652e-01	0.000000e+00	0.000000e+00
1.636349999999874e-08	3.107791e-01	0.000000e+00	0.000000e+00
1.738749999999990e-08	3.345930e-01	0.000000e+00	0.000000e+00
1.841150000000106e-08	3.584070e-01	0.000000e+00	0.000000e+00
1.943550000000222e-08	3.822209e-01	-1.275180e-25	0.000000e+00
2.028850000000319e-08	4.020582e-01	5.610761e-10	0.000000e+00
2.029150000000319e-08	4.021279e-01	3.654054e-09	0.000000e+00
2.029450000000320e-08	4.021977e-01	8.130996e-09	0.000000e+00
2.029750000000320e-08	4.022675e-01	1.506743e-08	0.000000e+00
2.030050000000320e-08	4.023372e-01	2.558388e-08	0.000000e+00
2.030350000000321e-08	4.024070e-01	4.078655e-08	0.000000e+00
2.030650000000321e-08	4.024768e-01	6.177624e-08	0.000000e+00
2.030950000000321e-08	4.025465e-01	8.964262e-08	0.000000e+00
2.031250000000322e-08	4.026163e-01	1.254680e-07	0.000000e+00
2.031964285714608e-08	4.027824e-01	2.151015e-07	0.000000e+00
2.032678571428895e-08	4.029485e-01	4.044359e-07	0.000000e+00
2.033392857143181e-08	4.031146e-01	6.934714e-07	0.000000e+00
2.034107142857468e-08	4.032807e-01	1.082208e-06	0.000000e+00
2.034821428571754e-08	4.034468e-01	1.570645e-06	0.000000e+00
2.035535714286041e-08	4.036130e-01	2.158784e-06	0.000000e+00
2.036250000000327e-08	4.037791e-01	2.846624e-06	0.000000e+00
2.037178571428900e-08	4.039950e-01	3.939950e-06	0.000000e+00
2.038107142857472e-08	4.042110e-01	5.370837e-06	0.000000e+00
2.039035714286045e-08	4.044269e-01	7.139283e-06	0.000000e+00
2.039964285714617e-08	4.046429e-01	9.245289e-06	0.000000e+00
2.040892857143190e-08	4.048588e-01	1.168885e-05	0.000000e+00
2.041821428571762e-08	4.050747e-01	1.446998e-05	0.000000e+00
2.042750000000335e-08	4.052907e-01	1.758867e-05	0.000000e+00
2.043192857143192e-08	4.053937e-01	1.924710e-05	0.000000e+00
2.043635714286050e-08	4.054967e-01	2.101009e-05	0.000000e+00
2.044078571428908e-08	4.055997e-01	2.287763e-05	0.000000e+00
2.044521428571765e-08	4.057026e-01	2.484972e-05	0.000000e+00
2.044964285714623e-08	4.058056e-01	2.692635e-05	0.000000e+00
2.045407142857481e-08	4.059086e-01	2.910754e-05	0.000000e+00
2.045850000000338e-08	4.060116e-01	3.139328e-05	0.000000e+00
2.045950000000338e-08	4.060349e-01	3.192626e-05	0.000000e+00
2.047335714286054e-08	4.063571e-01	3.976558e-05	0.000000e+00
2.048721428571770e-08	4.066794e-01	4.893511e-05	0.000000e+00
2.050107142857486e-08	4.070017e-01	5.943487e-05	0.000000e+00
2.051492857143202e-08	4.073239e-01	7.126485e-05	0.000000e+00
2.052878571428918e-08	4.076462e-01	8.442504e-05	0.000000e+00
2.054264285714633e-08	4.079684e-01	9.891546e-05	0.000000e+00
2.055650000000349e-08	4.082907e-01	1.147361e-04	0.000000e+00
2.057850000000352e-08	4.088023e-01	1.428366e-04	0.000000e+00
2.060050000000354e-08	4.093139e-01	1.753925e-04	0.000000e+00
2.062250000000357e-08	4.098256e-01	2.124037e-04	0.000000e+00
2.064450000000359e-08	4.103372e-01	2.538704e-04	0.000000e+00
2.066650000000362e-08	4.108488e-01	2.997925e-04	0.000000e+00
2.068850000000364e-08	4.113605e-01	3.501699e-04	0.000000e+00
2.071050000000367e-08	4.118721e-01	4.050028e-04	0.000000e+00
2.075535714286086e-08	4.129153e-01	5.317421e-04	0.000000e+00
2.080021428571806e-08	4.139585e-01	6.812394e-04	0.000000e+00
2.084507142857525e-08	4.150017e-01	8.534948e-04	0.000000e+00
2.088992857143244e-08	4.160449e-01	1.048508e-03	0.000000e+00
2.093478571428964e-08	4.170880e-01	1.266280e-03	0.000000e+00
2.097964285714683e-08	4.181312e-01	1.506809e-03	0.000000e+00
2.102450000000402e-08	4.191744e-01	1.770097e-03	0.000000e+00
2.108992857143267e-08	4.206960e-01	2.199787e-03	0.000000e+00
2.115535714286132e-08	4.222176e-01	2.678306e-03	0.000000e+00
2.122078571428996e-08	4.237392e-01	3.205654e-03	0.000000e+00
2.128621428571861e-08	4.252608e-01	3.781831e-03	0.000000e+00
2.135164285714725e-08	4.267824e-01	4.406838e-03	0.000000e+00
2.141707142857590e-08	4.283040e-01	5.080673e-03	0.000000e+00
2.148250000000454e-08	4.298256e-01	5.803338e-03	0.000000e+00
