time	V(n001)	V(n002)	V(n003)
0.000000000000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.000000000000000e-09	-2.592297e-20	0.000000e+00	0.000000e+00
2.020000000000000e-09	8.169492e-06	0.000000e+00	0.000000e+00
2.060000000000000e-09	4.044859e-05	0.000000e+00	0.000000e+00
2.116675643282271e-09	1.394003e-04	0.000000e+00	0.000000e+00
2.177143942683218e-09	3.107140e-04	0.000000e+00	0.000000e+00
2.298080541485110e-09	8.413682e-04	0.000000e+00	0.000000e+00
2.498080541485111e-09	2.209370e-03	0.000000e+00	0.000000e+00
2.698080541485111e-09	4.106890e-03	0.000000e+00	0.000000e+00
2.898080541485111e-09	6.445684e-03	0.000000e+00	0.000000e+00
3.098080541485111e-09	9.152213e-03	0.000000e+00	0.000000e+00
3.298080541485111e-09	1.216520e-02	0.000000e+00	0.000000e+00
3.498080541485111e-09	1.543356e-02	0.000000e+00	0.000000e+00
3.698080541485111e-09	1.891476e-02	0.000000e+00	0.000000e+00
3.898080541485112e-09	2.257331e-02	0.000000e+00	0.000000e+00
4.098080541485112e-09	2.637966e-02	0.000000e+00	0.000000e+00
4.498080541485112e-09	3.434134e-02	0.000000e+00	0.000000e+00
4.898080541485112e-09	4.264804e-02	0.000000e+00	0.000000e+00
5.498080541485113e-09	5.553348e-02	0.000000e+00	0.000000e+00
5.926651970056541e-09	6.499272e-02	0.000000e+00	0.000000e+00
6.355223398627971e-09	7.449970e-02	0.000000e+00	0.000000e+00
6.783794827199400e-09	8.405441e-02	0.000000e+00	0.000000e+00
7.212366255770828e-09	9.365686e-02	0.000000e+00	0.000000e+00
7.640937684342257e-09	1.033071e-01	0.000000e+00	0.000000e+00
8.069509112913687e-09	1.130050e-01	0.000000e+00	0.000000e+00
8.498080541485115e-09	1.227506e-01	0.000000e+00	0.000000e+00
1.989808054148508e-08	3.817746e-01	3.985005e-23	0.000000e+00
2.009808054148508e-08	3.863200e-01	4.754324e-08	0.000000e+00
2.029808054148508e-08	3.908655e-01	3.565467e-06	0.000000e+00
2.046375184434231e-08	3.946307e-01	1.712055e-05	0.000000e+00
2.054938820791523e-08	3.965770e-01	3.634241e-05	0.000000e+00
2.062800429389744e-08	3.983637e-01	6.719372e-05	0.000000e+00
2.073069713257430e-08	4.006976e-01	1.268625e-04	0.000000e+00
2.084247196226797e-08	4.032380e-01	2.243231e-04	0.000000e+00
2.094613977718690e-08	4.055941e-01	3.617356e-04	0.000000e+00
2.110993216009731e-08	4.093166e-01	6.884390e-04	0.000000e+00
2.127959411900575e-08	4.131726e-01	1.181956e-03	0.000000e+00
2.147959411900575e-08	4.177181e-01	1.967309e-03	0.000000e+00
2.167959411900575e-08	4.222635e-01	2.961384e-03	0.000000e+00
2.187959411900575e-08	4.268090e-01	4.176014e-03	0.000000e+00
2.207959411900575e-08	4.313544e-01	5.610467e-03	0.000000e+00
2.227959411900574e-08	4.358999e-01	7.260195e-03	0.000000e+00
2.247959411900574e-08	4.404453e-01	9.117767e-03	0.000000e+00
2.267959411900574e-08	4.449908e-01	1.117362e-02	0.000000e+00
2.287959411900574e-08	4.495362e-01	1.341666e-02	0.000000e+00
2.307959411900574e-08	4.540817e-01	1.583479e-02	0.000000e+00
2.327959411900574e-08	4.586271e-01	1.841525e-02	0.000000e+00
2.347959411900574e-08	4.631726e-01	2.114497e-02	0.000000e+00
2.380000000000000e-08	4.704545e-01	2.578483e-02	0.000000e+00
2.400000000000000e-08	4.750000e-01	2.882782e-02	0.000000e+00
2.406000000000000e-08	4.763232e-01	2.973857e-02	0.000000e+00
2.414000000000000e-08	4.779845e-01	3.094156e-02	0.000000e+00
2.430000000000000e-08	4.809693e-01	3.343907e-02	0.000000e+00
2.450000000000000e-08	4.841408e-01	3.671861e-02	0.000000e+00
2.470000000000000e-08	4.867837e-01	4.010174e-02	0.000000e+00
2.489999999999999e-08	4.889862e-01	4.354616e-02	0.000000e+00
2.509999999999999e-08	4.908216e-01	4.704173e-02	0.000000e+00
2.529999999999999e-08	4.923512e-01	5.057891e-02	0.000000e+00
2.549999999999999e-08	4.936258e-01	5.414874e-02	0.000000e+00
2.569999999999999e-08	4.946881e-01	5.774286e-02	0.000000e+00
2.589999999999999e-08	4.955733e-01	6.135345e-02	0.000000e+00
2.609999999999999e-08	4.963110e-01	6.497328e-02	0.000000e+00
2.629999999999998e-08	4.969258e-01	6.859565e-02	0.000000e+00
2.649999999999998e-08	4.974381e-01	7.221437e-02	0.000000e+00
2.669999999999998e-08	4.978650e-01	7.582374e-02	0.000000e+00
2.689999999999998e-08	4.982208e-01	7.941854e-02	0.000000e+00
2.709999999999998e-08	4.985173e-01	8.299401e-02	0.000000e+00
2.729999999999998e-08	4.987644e-01	8.654581e-02	0.000000e+00
2.749999999999997e-08	4.989703e-01	9.006996e-02	0.000000e+00
2.769999999999997e-08	4.991419e-01	9.356291e-02	0.000000e+00
2.789999999999997e-08	4.992849e-01	9.702142e-02	0.000000e+00
2.809999999999997e-08	4.994041e-01	1.004426e-01	0.000000e+00
2.829999999999997e-08	4.995034e-01	1.038239e-01	0.000000e+00
2.849999999999997e-08	4.995861e-01	1.071630e-01	0.000000e+00
2.869999999999997e-08	4.996551e-01	1.104579e-01	0.000000e+00
2.889999999999996e-08	4.997126e-01	1.137068e-01	0.000000e+00
2.909999999999996e-08	4.997605e-01	1.169081e-01	0.000000e+00
2.929999999999996e-08	4.998004e-01	1.200607e-01	0.000000e+00
2.949999999999996e-08	4.998337e-01	1.231632e-01	0.000000e+00
2.969999999999996e-08	4.998614e-01	1.262148e-01	0.000000e+00
2.989999999999996e-08	4.998845e-01	1.292147e-01	0.000000e+00
3.009999999999996e-08	4.999037e-01	1.321624e-01	0.000000e+00
3.029999999999996e-08	4.999198e-01	1.350573e-01	0.000000e+00
3.049999999999996e-08	4.999332e-01	1.378991e-01	0.000000e+00
3.069999999999996e-08	4.999443e-01	1.406876e-01	0.000000e+00
3.089999999999997e-08	4.999536e-01	1.434228e-01	0.000000e+00
3.109999999999997e-08	4.999613e-01	1.461045e-01	0.000000e+00
3.129999999999997e-08	4.999678e-01	1.487330e-01	0.000000e+00
3.149999999999997e-08	4.999731e-01	1.513084e-01	0.000000e+00
3.169999999999997e-08	4.999776e-01	1.538309e-01	0.000000e+00
3.189999999999997e-08	4.999813e-01	1.563010e-01	0.000000e+00
3.209999999999998e-08	4.999844e-01	1.587189e-01	0.000000e+00
3.229999999999998e-08	4.999870e-01	1.610852e-01	0.000000e+00
3.249999999999998e-08	4.999892e-01	1.634004e-01	0.000000e+00
3.269999999999998e-08	4.999910e-01	1.656650e-01	0.000000e+00
3.289999999999998e-08	4.999925e-01	1.678796e-01	0.000000e+00
3.309999999999999e-08	4.999937e-01	1.700448e-01	0.000000e+00
3.329999999999999e-08	4.999948e-01	1.721614e-01	0.000000e+00
3.349999999999999e-08	4.999956e-01	1.742299e-01	0.000000e+00
3.369999999999999e-08	4.999964e-01	1.762512e-01	0.000000e+00
3.389999999999999e-08	4.999970e-01	1.782259e-01	0.000000e+00
3.409999999999999e-08	4.999975e-01	1.801547e-01	0.000000e+00
3.430000000000000e-08	4.999979e-01	1.820386e-01	0.000000e+00
3.470000000000000e-08	4.999985e-01	1.856743e-01	0.000000e+00
3.510000000000000e-08	4.999990e-01	1.891393e-01	0.000000e+00
3.570000000000001e-08	4.999994e-01	1.940309e-01	0.000000e+00
3.630000000000001e-08	4.999997e-01	1.985746e-01	0.000000e+00
3.655714285714287e-08	4.999997e-01	2.004167e-01	0.000000e+00
3.681428571428573e-08	4.999998e-01	2.022047e-01	0.000000e+00
3.707142857142860e-08	4.999998e-01	2.039385e-01	0.000000e+00
3.732857142857145e-08	4.999999e-01	2.056181e-01	0.000000e+00
3.758571428571431e-08	4.999999e-01	2.072435e-01	0.000000e+00
3.784285714285717e-08	4.999999e-01	2.088147e-01	0.000000e+00
3.810000000000003e-08	4.999999e-01	2.103318e-01	0.000000e+00
3.830000000000003e-08	4.999999e-01	2.114811e-01	0.000000e+00
3.850000000000003e-08	4.999998e-01	2.126016e-01	0.000000e+00
