Freq.	V(ref)/V(tee)
1.00000000000000e+06	1.39745297331822e+00,1.26817724622168e-02
1.15800000000000e+06	1.39756741077999e+00,1.46848580530776e-02
1.31600000000000e+06	1.39769865533293e+00,1.66876634434697e-02
1.47400000000000e+06	1.39784672737571e+00,1.86901493867616e-02
1.63200000000000e+06	1.39801164992198e+00,2.06922762455796e-02
1.79000000000000e+06	1.39819344860375e+00,2.26940039438376e-02
1.94800000000000e+06	1.39839215167514e+00,2.46952919185315e-02
2.10600000000000e+06	1.39860779001652e+00,2.66960990710521e-02
2.26400000000000e+06	1.39884039713899e+00,2.86963837181810e-02
2.42200000000000e+06	1.39909000918920e+00,3.06961035425596e-02
2.58000000000000e+06	1.39935666495455e+00,3.26952155426773e-02
2.73800000000000e+06	1.39964040586872e+00,3.46936759823786e-02
2.89600000000000e+06	1.39994127601749e+00,3.66914403397257e-02
3.05400000000000e+06	1.40025932214497e+00,3.86884632552978e-02
3.21200000000000e+06	1.40059459366003e+00,4.06846984798387e-02
3.37000000000000e+06	1.40094714264315e+00,4.26800988211967e-02
3.52800000000000e+06	1.40131702385351e+00,4.46746160905247e-02
3.68600000000000e+06	1.40170429473633e+00,4.66682010477377e-02
3.84400000000000e+06	1.40210901543055e+00,4.86608033461480e-02
4.00200000000000e+06	1.40253124877673e+00,5.06523714762017e-02
4.16000000000000e+06	1.40297106032522e+00,5.26428527083758e-02
4.31800000000000e+06	1.40342851834453e+00,5.46321930350803e-02
4.47600000000000e+06	1.40390369382991e+00,5.66203371115972e-02
4.63400000000000e+06	1.40439666051221e+00,5.86072281959791e-02
4.79200000000000e+06	1.40490749486682e+00,6.05928080878575e-02
4.95000000000000e+06	1.40543627612283e+00,6.25770170661473e-02
5.10800000000000e+06	1.40598308627234e+00,6.45597938255409e-02
5.26600000000000e+06	1.40654801007986e+00,6.65410754118082e-02
5.42400000000000e+06	1.40713113509187e+00,6.85207971558277e-02
5.58200000000000e+06	1.40773255164638e+00,7.04988926062592e-02
5.74000000000000e+06	1.40835235288262e+00,7.24752934608922e-02
5.89800000000000e+06	1.40899063475072e+00,7.44499294965305e-02
6.05600000000000e+06	1.40964749602143e+00,7.64227284974263e-02
6.21400000000000e+06	1.41032303829574e+00,7.83936161821706e-02
6.37200000000000e+06	1.41101736601456e+00,8.03625161290041e-02
6.53000000000000e+06	1.41173058646822e+00,8.23293496994850e-02
6.68800000000000e+06	1.41246280980587e+00,8.42940359604697e-02
6.84600000000000e+06	1.41321414904476e+00,8.62564916043327e-02
7.00400000000000e+06	1.41398472007928e+00,8.82166308673644e-02
7.16200000000000e+06	1.41477464168983e+00,9.01743654463343e-02
7.32000000000000e+06	1.41558403555135e+00,9.21296044130712e-02
7.47800000000000e+06	1.41641302624157e+00,9.40822541270983e-02
7.63600000000000e+06	1.41726174124891e+00,9.60322181461810e-02
7.79400000000000e+06	1.41813031097995e+00,9.79793971347668e-02
7.95200000000000e+06	1.41901886876644e+00,9.99236887702496e-02
8.11000000000000e+06	1.41992755087181e+00,1.01864987646960e-01
8.26800000000000e+06	1.42085649649712e+00,1.03803185177872e-01
8.42600000000000e+06	1.42180584778635e+00,1.05738169493886e-01
8.58400000000000e+06	1.42277574983102e+00,1.07669825340698e-01
8.74200000000000e+06	1.42376635067409e+00,1.09598033973106e-01
8.90000000000000e+06	1.42477780131298e+00,1.11522673046752e-01
9.05800000000000e+06	1.42581025570172e+00,1.13443616507174e-01
9.21600000000000e+06	1.42686387075216e+00,1.15360734476124e-01
9.37400000000000e+06	1.42793880633412e+00,1.17273893135072e-01
9.53200000000000e+06	1.42903522527434e+00,1.19182954605814e-01
9.69000000000000e+06	1.43015329335436e+00,1.21087776828110e-01
9.84800000000000e+06	1.43129317930697e+00,1.22988213434279e-01
1.00060000000000e+07	1.43245505481127e+00,1.24884113620667e-01
1.01640000000000e+07	1.43363909448633e+00,1.26775322015911e-01
1.03220000000000e+07	1.43484547588310e+00,1.28661678545921e-01
1.04800000000000e+07	1.43607437947470e+00,1.30543018295496e-01
1.06380000000000e+07	1.43732598864487e+00,1.32419171366491e-01
1.07960000000000e+07	1.43860048967440e+00,1.34289962732460e-01
1.09540000000000e+07	1.43989807172558e+00,1.36155212089686e-01
